ignore,CSET NAME,RXCUI,N3C Dashboard,FDA COVID Therapeutics,Diabetes DT approved,DOSE FORM?,MULTI INGRED,compare_n3c_codeset_ids,TYPE OF DRUG,INFORMATICIAN,SME,NOTES,PROPOSED N3C RECOMMENDED CSET ID,N3C RECOMMENDED,PUBLISHED
TRUE,Dexamethasone,3264,YES,,,Mixed,NO,"638317635, 16371895, 584859446,  749226335, 808986024, 258567260, 815004753, 678967796, 246957665, 992582947",corticosteroid,Harold,,4/18 See Harold's cset 485640400,485640400,,
,Lisinopril,29046,YES,,,Oral,NO,"795182200, 763943060, 10638928",ACE Inhibitor,,,,,,
,Losartan,52175,YES,,,Oral,NO,"221648514, 929786231, 773017960, 154110927",ARB,,,,,,
,Montelukast,88249,YES,,,Oral,NO,"98165645, 858141871",LTRA (asthma),,,,,,
,Fluoxetine,4493,YES,,,Oral,NO,"602742506, 956795314, 219513808",SSRI (anti depressant),,,,,,
,Remdesivir,2284718,YES,YES,,Injectable,NO,"820089049, 817264774, 747510181, 454965238, 96369749, 206883828, 719693192",antiviral,,,,,,
,Valsartan,69749,YES,,,Oral,NO,"734395916, 400268646, 129406836, 199292654, ",ARB,,,,,,
,Hydroxychloroquine,5521,YES,,,Oral,NO,"524860109, 524860109, 132418820, 245850613, 807281242, 303192500, 726349556",antimalarial and antirheumatic,,,,,,
,Casirivimab / Imdevimab,2557234,YES,YES,,Injectable,YES,204936358,monoclonal antibodies,,,,,,
,Nirmatrelvir / Ritonavir (Paxlovid),2599543,YES,YES,,Oral,YES,"50489242, 207253526, 412196267, 798981734",antiviral,,,,,,
,Colchicine,2683,YES,,,Oral,NO,"343080791, 635933994",anti-gout agent,,,,,,
,Olmesartan,321064,YES,,,Oral,NO,"503761291, 892468750, 143190229, 780027400",ARB,,,,,,
,Benazepril,18867,YES,,,Oral,NO,"699818664, 250324161, 172245792, 180798677",ACE Inhibitor,,,,,,
,Enalapril,3827,YES,,,Oral and Injectable,NO,"199735456, 637098603, 498642384",ACE Inhibitor,,,,,,
,Irbesartan,83818,YES,,,Oral,NO,"766589107, 860361329, 988715858",ARB,,,,,,
,Bamlanivimab,2463114,YES,,,Injectable,NO,"279107457, 173627639, 221251863",monoclonal antibodies,,,,,,
,Lopinavir / Ritonavir,284640,YES,,,Oral,YES,"742094442, 869338732, 165611849",protease inhibitors (HIV),,,,,,
,Ramipril,35296,YES,,,Oral,NO,"355738837, 402462598, 365728576",ACE Inhibitor,,,,,,
,Tocilizumab,612865,YES,,,Injectable,NO,"734856651, 4624781, 565858298, 276204116","biologics, immunosuppressant, monoclonal antibodies",,,,,,
,Telmisartan,73494,YES,,,Oral,NO,"615983531, 350841761",ARB,,,,,,
,Sotrovimab,2550731,YES,YES,,Injectable,NO,"417597790, 195495529, 550646109, 189294947, 774081606",monoclonal antibodies,,,,,,
,Candesartan,214354,YES,,,Oral,NO,"631398063, 353406235",ARB,,,,,,
,Fluvoxamine,42355,YES,,,Oral,NO,"741580989, 738475452, 424477820, 762254277",SSRI (anti depressant),,,,,,
,Captopril,1998,YES,,,Oral,NO,"870185483, 302234933",ACE Inhibitor,,,,,,
,Quinapril,35208,YES,,,Oral,NO,"372016246, 129342436, 59923084, 794087694",ACE Inhibitor,,,,,,
,Etesevimab,2477854,YES,,,Injectable,NO,"690302347, 361091285, 985547691",monoclonal antibodies,,,,,,
,Chloroquine,2393,YES,,,Oral,NO,"181134995, 81821086",antimalarials and amebicides,,,,,,
,Anakinra,72435,YES,YES,,Injectable,NO,614076948,"biologics, immunosuppressant, monoclonal antibodies",,,,,,
,Fosinopril,50166,YES,,,Oral,NO,"775511096, 622225041",ACE Inhibitor,,,,,,
,Bamlanivimab / Etesevimab,?,YES,YES,,Injectable,YES,361091285,monoclonal antibodies,,,,,,
,Tixagevimab / Cilgavimab (Evusheld),2587312,YES,YES,,,YES,"400456790, 180226770, 337738832, 230171303, 62246265, 809722294",monoclonal antibodies,,,,,,
,Azilsartan,1091643,YES,,,Oral,NO,"589309635, 468581880",ARB,,,,,,
,Molnupiravir,2587901,YES,YES,,Oral,NO,"537705547, 643666235",antiviral,,,,,,
,Interferon beta-1a,75917,YES,,,Injectable,NO,"359012050, 83035319",immunomodulators,,,,,,
,Trandolapril,38454,YES,,,Oral,NO,"327826459, 857267410, 867767847",ACE Inhibitor,,,,,,
,Moexipril,30131,YES,,,Oral,NO,"383204601, 162634454, 511668082",ACE Inhibitor,,,,,,
,Perindopril,54552,YES,,,Oral,NO,"924973570, 397240401",ACE Inhibitor,,,,,,
,Interferon beta-1b,72257,YES,,,Injectable,NO,"531467540, 83035319",immunomodulators,,,,,,
,Peginterferon beta-1a,1546168,YES,,,Injectable,NO,443428466,immunomodulators,,,,,,
,Sacubitril / Valsartan (Entresto),1656341,,,,Oral,YES,199292654,ACE Inhibitor & ARB,,,,,,
,Casirivimab,2465242,,,,Injectable,NO,211082324,monoclonal antibodies,,,,,,
,Tocilizumab (Actemra),895761,,YES,,Injectable,NO,"734856651, 4624781, 565858298, 276204116, 889879486",Approved Drugs & Immune Modulators,,,,,,
,baricitinib (Olumiant),2047232,,YES,,Oral,NO,"305183333, 394764748, 38048732","SARS-COV-2-targeting Monoclonal Antibodies, Approved Drugs & Immune Modulators",,,,,,
,[DM] Insulin,253182,,,YES,Injectable and inhalant,NO,91074072,"hormones, antidiabetic, biologic",,"Carolyn Bramante MD, Victor Garcia MD",,,,
,[DM] Other Diabetes Medications,,,,YES,,,912920320,,,"Carolyn Bramante MD, Victor Garcia MD",,,,
,[DM] Meglitinide,,,,YES,,,312624342,,,"Carolyn Bramante MD, Victor Garcia MD",,,,
,[DM] Alpha Glucosidase Inhibitors,,,,YES,,,440051099,,,"Carolyn Bramante MD, Victor Garcia MD",,,,
,[DM] Biguanides-Other,,,,YES,,,267122637,Biguanides,,"Carolyn Bramante MD, Victor Garcia MD",,,,
,[DM] Thiazolidinediones,,,,YES,,,165856330,,,"Carolyn Bramante MD, Victor Garcia MD",,,,
,[DM] GLP1,,,,YES,,,514789105,,,"Carolyn Bramante MD, Victor Garcia MD",,,,
,[DM] DPP4i,,,,YES,,,82538978,,,"Carolyn Bramante MD, Victor Garcia MD",,,,
,[DM] SGLT2,,,,YES,,,624781538,,,"Carolyn Bramante MD, Victor Garcia MD",,,,
,[DM] Sulfonylureas,,,,YES,,,423850600,,,"Carolyn Bramante MD, Victor Garcia MD",,,,
,[DM] Metformin BA,,,,YES,,,496753430,Biguanides,,"Carolyn Bramante MD, Victor Garcia MD",,,,
,[DM] Metformin ATC,,,,YES,,,273651147,Biguanides,,"Carolyn Bramante MD, Victor Garcia MD",,,,
,[DM] Metformin - include combinations,,,,YES,,,317527767,Biguanides,,"Carolyn Bramante MD, Victor Garcia MD",,,,
,[DM] Metformin,,,,YES,,,677036102,Biguanides,,"Carolyn Bramante MD, Victor Garcia MD",,,,
