oid,source
2.16.840.1.113762.1.4.1029.63,input/oids.txt
2.16.840.1.113762.1.4.1029.211,input/oids.txt
2.16.840.1.113762.1.4.1029.213,input/oids.txt
2.16.840.1.113762.1.4.1029.269,input/oids.txt
2.16.840.1.113762.1.4.1029.287,input/oids.txt
2.16.840.1.113762.1.4.1029.317,input/oids.txt
2.16.840.1.113762.1.4.1029.323,input/oids.txt
2.16.840.1.113762.1.4.1029.338,input/oids.txt
2.16.840.1.113762.1.4.1029.366,input/oids.txt
2.16.840.1.113762.1.4.1110.61,input/oids.txt
2.16.840.1.113762.1.4.1110.62,input/oids.txt
2.16.840.1.113883.3.117.1.7.1.200,input/oids.txt
2.16.840.1.113883.3.117.1.7.1.201,input/oids.txt
2.16.840.1.113883.3.117.1.7.1.202,input/oids.txt
2.16.840.1.113883.3.117.1.7.1.212,input/oids.txt
2.16.840.1.113883.3.117.1.7.1.255,input/oids.txt
2.16.840.1.113883.3.117.1.7.1.258,input/oids.txt
2.16.840.1.113883.3.117.1.7.1.259,input/oids.txt
2.16.840.1.113883.3.117.1.7.1.260,input/oids.txt
2.16.840.1.113883.3.117.1.7.1.261,input/oids.txt
2.16.840.1.113762.1.4.1029.216,input/oids.txt
2.16.840.1.113762.1.4.1110.53,input/oids.txt
2.16.840.1.113762.1.4.1029.223,input/oids.txt
2.16.840.1.113762.1.4.1029.224,input/oids.txt
2.16.840.1.113762.1.4.1029.214,input/oids.txt
2.16.840.1.113762.1.4.1029.215,input/oids.txt
2.16.840.1.113762.1.4.1029.233,input/oids.txt
2.16.840.1.113762.1.4.1029.234,input/oids.txt
2.16.840.1.113762.1.4.1029.243,input/oids.txt
2.16.840.1.113762.1.4.1029.244,input/oids.txt
2.16.840.1.113762.1.4.1029.309,input/oids.txt
2.16.840.1.113762.1.4.1029.310,input/oids.txt
2.16.840.1.113762.1.4.1029.225,input/oids.txt
2.16.840.1.113762.1.4.1029.226,input/oids.txt
2.16.840.1.113762.1.4.1196.475,https://docs.google.com/spreadsheets/d/1jzGrVELQz5L4B_-DqPflPIcpBaTfJOUTrVJT5nS_j18/edit#gid=1335629675
