codeset_id,concept_set_name,concept_set_version_title,project,source_application,source_application_version,created_at,atlas_json,is_most_recent_version,version,comments,intention,limitations,issues,update_message,status,has_review,reviewed_by,created_by,provenance,atlas_json_resource_url,parent_version_id,is_draft
1000000241,[HCUP] Diseases of white blood cells,[HCUP] Diseases of white blood cells (v1),RP-4A9E27,EXTERNAL VSAC,,2022-03-02T18:16:19.912Z,,True,1,Exported from VSAC and bulk imported to N3C.,"ICD10CM Body System (largely aligned with ICD10CM chapters) diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism. BLD contains 10 categories that include diseases related to the blood, diseases of blood-forming organs, and certain disorders involving the immune mechanism such as nutritional anemia, sickle cell/trait anemia, and immunity disorders.",The grouping is based on Clinical Classifications Software Refines (CCSR). The CCSR for ICD10CM provides a method for aggregating the diagnosis codes into over 530 clinical categories across 21 body systems.  For more information about the CCSR: https://www.hcup-us.ahrq.gov/toolssoftware/ccsr/DXCCSR-User-Guide-v2022-1.pdf,,Initial version.,Under Construction,,,a39723f3-dc9c-48ce-90ff-06891c29114f,"AHRQ National Inpatient Sample, Healthcare Cost & Utilization Project (HCUP), 2019, CCSR BLD007; CCSR Code: BLD007",,,True
1000000242,[HCUP] Immunity disorders,[HCUP] Immunity disorders (v1),RP-4A9E27,EXTERNAL VSAC,,2022-03-02T18:16:19.913Z,,True,1,Exported from VSAC and bulk imported to N3C.,"ICD10CM Body System (largely aligned with ICD10CM chapters) diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism. BLD contains 10 categories that include diseases related to the blood, diseases of blood-forming organs, and certain disorders involving the immune mechanism such as nutritional anemia, sickle cell/trait anemia, and immunity disorders.",The grouping is based on Clinical Classifications Software Refines (CCSR). The CCSR for ICD10CM provides a method for aggregating the diagnosis codes into over 530 clinical categories across 21 body systems.  For more information about the CCSR: https://www.hcup-us.ahrq.gov/toolssoftware/ccsr/DXCCSR-User-Guide-v2022-1.pdf,,Initial version.,Under Construction,,,a39723f3-dc9c-48ce-90ff-06891c29114f,"AHRQ National Inpatient Sample, Healthcare Cost & Utilization Project (HCUP), 2019, CCSR BLD008; CCSR Code: BLD008",,,True
1000000251,[HCUP] Acute myocardial infarction,[HCUP] Acute myocardial infarction (v1),RP-4A9E27,EXTERNAL VSAC,,2022-03-02T18:16:19.914Z,,True,1,Exported from VSAC and bulk imported to N3C.,"ICD10CM Body System (largely aligned with ICD10CM chapters) diseases of the circulatory system. CIR contains 39 categories that include diseases of the circulatory system such as essential hypertension, acute myocardial infarction, heart failure, and cerebral infarction.",The grouping is based on Clinical Classifications Software Refines (CCSR). The CCSR for ICD10CM provides a method for aggregating the diagnosis codes into over 530 clinical categories across 21 body systems.  For more information about the CCSR: https://www.hcup-us.ahrq.gov/toolssoftware/ccsr/DXCCSR-User-Guide-v2022-1.pdf,,Initial version.,Under Construction,,,a39723f3-dc9c-48ce-90ff-06891c29114f,"AHRQ National Inpatient Sample, Healthcare Cost & Utilization Project (HCUP), 2019, CCSR CIR009; CCSR Code: CIR009",,,True
1000000252,[HCUP] Complications of acute myocardial infarction,[HCUP] Complications of acute myocardial infarction (v1),RP-4A9E27,EXTERNAL VSAC,,2022-03-02T18:16:19.916Z,,True,1,Exported from VSAC and bulk imported to N3C.,"ICD10CM Body System (largely aligned with ICD10CM chapters) diseases of the circulatory system. CIR contains 39 categories that include diseases of the circulatory system such as essential hypertension, acute myocardial infarction, heart failure, and cerebral infarction.",The grouping is based on Clinical Classifications Software Refines (CCSR). The CCSR for ICD10CM provides a method for aggregating the diagnosis codes into over 530 clinical categories across 21 body systems.  For more information about the CCSR: https://www.hcup-us.ahrq.gov/toolssoftware/ccsr/DXCCSR-User-Guide-v2022-1.pdf,,Initial version.,Under Construction,,,a39723f3-dc9c-48ce-90ff-06891c29114f,"AHRQ National Inpatient Sample, Healthcare Cost & Utilization Project (HCUP), 2019, CCSR CIR010; CCSR Code: CIR010",,,True
1000000253,[HCUP] Peripheral and visceral vascular disease,[HCUP] Peripheral and visceral vascular disease (v1),RP-4A9E27,EXTERNAL VSAC,,2022-03-02T18:16:19.917Z,,True,1,Exported from VSAC and bulk imported to N3C.,"ICD10CM Body System (largely aligned with ICD10CM chapters) diseases of the circulatory system. CIR contains 39 categories that include diseases of the circulatory system such as essential hypertension, acute myocardial infarction, heart failure, and cerebral infarction.",The grouping is based on Clinical Classifications Software Refines (CCSR). The CCSR for ICD10CM provides a method for aggregating the diagnosis codes into over 530 clinical categories across 21 body systems.  For more information about the CCSR: https://www.hcup-us.ahrq.gov/toolssoftware/ccsr/DXCCSR-User-Guide-v2022-1.pdf,,Initial version.,Under Construction,,,a39723f3-dc9c-48ce-90ff-06891c29114f,"AHRQ National Inpatient Sample, Healthcare Cost & Utilization Project (HCUP), 2019, CCSR CIR026; CCSR Code: CIR026",,,True
1000000255,[HCUP] Gastroduodenal ulcer,[HCUP] Gastroduodenal ulcer (v1),RP-4A9E27,EXTERNAL VSAC,,2022-03-02T18:16:19.918Z,,True,1,Exported from VSAC and bulk imported to N3C.,"ICD10CM Body System (largely aligned with ICD10CM chapters) diseases of the digestive system. DIG contains 25 categories that include diseases of the digestive system such as appendicitis and other appendiceal conditions, hepatic failure, diverticulosis and diverticulitis, and intestinal infection.",The grouping is based on Clinical Classifications Software Refines (CCSR). The CCSR for ICD10CM provides a method for aggregating the diagnosis codes into over 530 clinical categories across 21 body systems.  For more information about the CCSR: https://www.hcup-us.ahrq.gov/toolssoftware/ccsr/DXCCSR-User-Guide-v2022-1.pdf,,Initial version.,Under Construction,,,a39723f3-dc9c-48ce-90ff-06891c29114f,"AHRQ National Inpatient Sample, Healthcare Cost & Utilization Project (HCUP), 2019, CCSR DIG005; CCSR Code: DIG005",,,True
1000000256,[HCUP] Regional enteritis and ulcerative colitis,[HCUP] Regional enteritis and ulcerative colitis (v1),RP-4A9E27,EXTERNAL VSAC,,2022-03-02T18:16:19.919Z,,True,1,Exported from VSAC and bulk imported to N3C.,"ICD10CM Body System (largely aligned with ICD10CM chapters) diseases of the digestive system. DIG contains 25 categories that include diseases of the digestive system such as appendicitis and other appendiceal conditions, hepatic failure, diverticulosis and diverticulitis, and intestinal infection.",The grouping is based on Clinical Classifications Software Refines (CCSR). The CCSR for ICD10CM provides a method for aggregating the diagnosis codes into over 530 clinical categories across 21 body systems.  For more information about the CCSR: https://www.hcup-us.ahrq.gov/toolssoftware/ccsr/DXCCSR-User-Guide-v2022-1.pdf,,Initial version.,Under Construction,,,a39723f3-dc9c-48ce-90ff-06891c29114f,"AHRQ National Inpatient Sample, Healthcare Cost & Utilization Project (HCUP), 2019, CCSR DIG011; CCSR Code: DIG011",,,True
1000000257,[HCUP] Hepatic failure,[HCUP] Hepatic failure (v1),RP-4A9E27,EXTERNAL VSAC,,2022-03-02T18:16:19.920Z,,True,1,Exported from VSAC and bulk imported to N3C.,"ICD10CM Body System (largely aligned with ICD10CM chapters) diseases of the digestive system. DIG contains 25 categories that include diseases of the digestive system such as appendicitis and other appendiceal conditions, hepatic failure, diverticulosis and diverticulitis, and intestinal infection.",The grouping is based on Clinical Classifications Software Refines (CCSR). The CCSR for ICD10CM provides a method for aggregating the diagnosis codes into over 530 clinical categories across 21 body systems.  For more information about the CCSR: https://www.hcup-us.ahrq.gov/toolssoftware/ccsr/DXCCSR-User-Guide-v2022-1.pdf,,Initial version.,Under Construction,,,a39723f3-dc9c-48ce-90ff-06891c29114f,"AHRQ National Inpatient Sample, Healthcare Cost & Utilization Project (HCUP), 2019, CCSR DIG018; CCSR Code: DIG018",,,True
1000000240,[HCUP] Other specified and unspecified liver disease,[HCUP] Other specified and unspecified liver disease (v1),RP-4A9E27,EXTERNAL VSAC,,2022-03-02T18:16:19.921Z,,True,1,Exported from VSAC and bulk imported to N3C.,"ICD10CM Body System (largely aligned with ICD10CM chapters) diseases of the digestive system. DIG contains 25 categories that include diseases of the digestive system such as appendicitis and other appendiceal conditions, hepatic failure, diverticulosis and diverticulitis, and intestinal infection.",The grouping is based on Clinical Classifications Software Refines (CCSR). The CCSR for ICD10CM provides a method for aggregating the diagnosis codes into over 530 clinical categories across 21 body systems.  For more information about the CCSR: https://www.hcup-us.ahrq.gov/toolssoftware/ccsr/DXCCSR-User-Guide-v2022-1.pdf,,Initial version.,Under Construction,,,a39723f3-dc9c-48ce-90ff-06891c29114f,"AHRQ National Inpatient Sample, Healthcare Cost & Utilization Project (HCUP), 2019,CCSR DIG019; CCSR Code: DIG019",,,True
1000000244,[HCUP] Diabetes mellitus without complication,[HCUP] Diabetes mellitus without complication (v1),RP-4A9E27,EXTERNAL VSAC,,2022-03-02T18:16:19.922Z,,True,1,Exported from VSAC and bulk imported to N3C.,"ICD10CM Body System (largely aligned with ICD10CM chapters) endocrine, nutritional, and metabolic diseases. END contains 17 categories that include endocrine, nutritional, and metabolic diseases such as thyroid disorders, diabetes mellitus, obesity, and cystic fibrosis.",The grouping is based on Clinical Classifications Software Refines (CCSR). The CCSR for ICD10CM provides a method for aggregating the diagnosis codes into over 530 clinical categories across 21 body systems.  For more information about the CCSR: https://www.hcup-us.ahrq.gov/toolssoftware/ccsr/DXCCSR-User-Guide-v2022-1.pdf,,Initial version.,Under Construction,,,a39723f3-dc9c-48ce-90ff-06891c29114f,"AHRQ National Inpatient Sample, Healthcare Cost & Utilization Project (HCUP), 2019, CCSR END002; CCSR Code: END002",,,True
