concept_set_id,concept_set_name,project_id,assigned_informatician,assigned_sme,status,stage,intention,n3c_reviewer,alias,archived,created_by,created_at
[VSAC Bulk-Import test] Acute Myocardial Infarction (AMI),[VSAC Bulk-Import test] Acute Myocardial Infarction (AMI),,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,"Clinical Focus: This grouping value set contains diagnoses used to identify patients with acute myocardial infarction.; Data Element Scope: The intent of this data element is to identify patients with a diagnosis of acute myocardial infarction. Using the Quality Data Model, this particular element would map to the Principal Diagnosis attribute for the Encounter category.; Inclusion Criteria: Include codes that identify patients with acute myocardial infarction. This is a grouping of ICD10CM and SNOMEDCT codes.",,Acute infarction of papillary muscle (disorder),False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-01-19T23:06:37.890Z
[VSAC Bulk-Import test] Acute Myocardial Infarction (AMI),[VSAC Bulk-Import test] Acute Myocardial Infarction (AMI),,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,"Clinical Focus: This grouping value set contains diagnoses used to identify patients with acute myocardial infarction.; Data Element Scope: The intent of this data element is to identify patients with a diagnosis of acute myocardial infarction. Using the Quality Data Model, this particular element would map to the Principal Diagnosis attribute for the Encounter category.; Inclusion Criteria: Include codes that identify patients with acute myocardial infarction. This is a grouping of ICD10CM and SNOMEDCT codes.",,Acute ST segment elevation myocardial infarction of posterolateral wall (disorder),False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-01-19T23:06:37.890Z
[VSAC Bulk-Import test] Acute Myocardial Infarction (AMI),[VSAC Bulk-Import test] Acute Myocardial Infarction (AMI),,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,"Clinical Focus: This grouping value set contains diagnoses used to identify patients with acute myocardial infarction.; Data Element Scope: The intent of this data element is to identify patients with a diagnosis of acute myocardial infarction. Using the Quality Data Model, this particular element would map to the Principal Diagnosis attribute for the Encounter category.; Inclusion Criteria: Include codes that identify patients with acute myocardial infarction. This is a grouping of ICD10CM and SNOMEDCT codes.",,Acute ST segment elevation myocardial infarction of anterolateral wall (disorder),False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-01-19T23:06:37.890Z
[VSAC Bulk-Import test] Acute Myocardial Infarction (AMI),[VSAC Bulk-Import test] Acute Myocardial Infarction (AMI),,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,"Clinical Focus: This grouping value set contains diagnoses used to identify patients with acute myocardial infarction.; Data Element Scope: The intent of this data element is to identify patients with a diagnosis of acute myocardial infarction. Using the Quality Data Model, this particular element would map to the Principal Diagnosis attribute for the Encounter category.; Inclusion Criteria: Include codes that identify patients with acute myocardial infarction. This is a grouping of ICD10CM and SNOMEDCT codes.",,Acute ST segment elevation myocardial infarction of lateral wall (disorder),False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-01-19T23:06:37.890Z
[VSAC Bulk-Import test] Acute Myocardial Infarction (AMI),[VSAC Bulk-Import test] Acute Myocardial Infarction (AMI),,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,"Clinical Focus: This grouping value set contains diagnoses used to identify patients with acute myocardial infarction.; Data Element Scope: The intent of this data element is to identify patients with a diagnosis of acute myocardial infarction. Using the Quality Data Model, this particular element would map to the Principal Diagnosis attribute for the Encounter category.; Inclusion Criteria: Include codes that identify patients with acute myocardial infarction. This is a grouping of ICD10CM and SNOMEDCT codes.",,Acute ST segment elevation myocardial infarction of anteroseptal wall (disorder),False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-01-19T23:06:37.890Z
[VSAC Bulk-Import test] Acute Myocardial Infarction (AMI),[VSAC Bulk-Import test] Acute Myocardial Infarction (AMI),,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,"Clinical Focus: This grouping value set contains diagnoses used to identify patients with acute myocardial infarction.; Data Element Scope: The intent of this data element is to identify patients with a diagnosis of acute myocardial infarction. Using the Quality Data Model, this particular element would map to the Principal Diagnosis attribute for the Encounter category.; Inclusion Criteria: Include codes that identify patients with acute myocardial infarction. This is a grouping of ICD10CM and SNOMEDCT codes.",,Acute ST segment elevation myocardial infarction of posterior wall (disorder),False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-01-19T23:06:37.890Z
[VSAC Bulk-Import test] Acute Myocardial Infarction (AMI),[VSAC Bulk-Import test] Acute Myocardial Infarction (AMI),,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,"Clinical Focus: This grouping value set contains diagnoses used to identify patients with acute myocardial infarction.; Data Element Scope: The intent of this data element is to identify patients with a diagnosis of acute myocardial infarction. Using the Quality Data Model, this particular element would map to the Principal Diagnosis attribute for the Encounter category.; Inclusion Criteria: Include codes that identify patients with acute myocardial infarction. This is a grouping of ICD10CM and SNOMEDCT codes.",,Acute ST segment elevation myocardial infarction due to left coronary artery occlusion (disorder),False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-01-19T23:06:37.890Z
[VSAC Bulk-Import test] Acute Myocardial Infarction (AMI),[VSAC Bulk-Import test] Acute Myocardial Infarction (AMI),,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,"Clinical Focus: This grouping value set contains diagnoses used to identify patients with acute myocardial infarction.; Data Element Scope: The intent of this data element is to identify patients with a diagnosis of acute myocardial infarction. Using the Quality Data Model, this particular element would map to the Principal Diagnosis attribute for the Encounter category.; Inclusion Criteria: Include codes that identify patients with acute myocardial infarction. This is a grouping of ICD10CM and SNOMEDCT codes.",,Acute ST segment elevation myocardial infarction due to right coronary artery occlusion (disorder),False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-01-19T23:06:37.890Z
[VSAC Bulk-Import test] Acute Myocardial Infarction (AMI),[VSAC Bulk-Import test] Acute Myocardial Infarction (AMI),,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,"Clinical Focus: This grouping value set contains diagnoses used to identify patients with acute myocardial infarction.; Data Element Scope: The intent of this data element is to identify patients with a diagnosis of acute myocardial infarction. Using the Quality Data Model, this particular element would map to the Principal Diagnosis attribute for the Encounter category.; Inclusion Criteria: Include codes that identify patients with acute myocardial infarction. This is a grouping of ICD10CM and SNOMEDCT codes.",,Acute ST segment elevation myocardial infarction of septum (disorder),False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-01-19T23:06:37.890Z
[VSAC Bulk-Import test] Acute Myocardial Infarction (AMI),[VSAC Bulk-Import test] Acute Myocardial Infarction (AMI),,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,"Clinical Focus: This grouping value set contains diagnoses used to identify patients with acute myocardial infarction.; Data Element Scope: The intent of this data element is to identify patients with a diagnosis of acute myocardial infarction. Using the Quality Data Model, this particular element would map to the Principal Diagnosis attribute for the Encounter category.; Inclusion Criteria: Include codes that identify patients with acute myocardial infarction. This is a grouping of ICD10CM and SNOMEDCT codes.",,Acute ST segment elevation myocardial infarction of posterobasal wall (disorder),False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-01-19T23:06:37.890Z
[VSAC Bulk-Import test] Acute Myocardial Infarction (AMI),[VSAC Bulk-Import test] Acute Myocardial Infarction (AMI),,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,"Clinical Focus: This grouping value set contains diagnoses used to identify patients with acute myocardial infarction.; Data Element Scope: The intent of this data element is to identify patients with a diagnosis of acute myocardial infarction. Using the Quality Data Model, this particular element would map to the Principal Diagnosis attribute for the Encounter category.; Inclusion Criteria: Include codes that identify patients with acute myocardial infarction. This is a grouping of ICD10CM and SNOMEDCT codes.",,Acute myocardial infarction of posterolateral wall (disorder),False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-01-19T23:06:37.890Z
[VSAC Bulk-Import test] Acute Myocardial Infarction (AMI),[VSAC Bulk-Import test] Acute Myocardial Infarction (AMI),,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,"Clinical Focus: This grouping value set contains diagnoses used to identify patients with acute myocardial infarction.; Data Element Scope: The intent of this data element is to identify patients with a diagnosis of acute myocardial infarction. Using the Quality Data Model, this particular element would map to the Principal Diagnosis attribute for the Encounter category.; Inclusion Criteria: Include codes that identify patients with acute myocardial infarction. This is a grouping of ICD10CM and SNOMEDCT codes.",,Acute myocardial infarction due to left coronary artery occlusion (disorder),False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-01-19T23:06:37.890Z
[VSAC Bulk-Import test] Acute Myocardial Infarction (AMI),[VSAC Bulk-Import test] Acute Myocardial Infarction (AMI),,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,"Clinical Focus: This grouping value set contains diagnoses used to identify patients with acute myocardial infarction.; Data Element Scope: The intent of this data element is to identify patients with a diagnosis of acute myocardial infarction. Using the Quality Data Model, this particular element would map to the Principal Diagnosis attribute for the Encounter category.; Inclusion Criteria: Include codes that identify patients with acute myocardial infarction. This is a grouping of ICD10CM and SNOMEDCT codes.",,Acute atrial infarction (disorder),False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-01-19T23:06:37.890Z
[VSAC Bulk-Import test] Acute Myocardial Infarction (AMI),[VSAC Bulk-Import test] Acute Myocardial Infarction (AMI),,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,"Clinical Focus: This grouping value set contains diagnoses used to identify patients with acute myocardial infarction.; Data Element Scope: The intent of this data element is to identify patients with a diagnosis of acute myocardial infarction. Using the Quality Data Model, this particular element would map to the Principal Diagnosis attribute for the Encounter category.; Inclusion Criteria: Include codes that identify patients with acute myocardial infarction. This is a grouping of ICD10CM and SNOMEDCT codes.",,Subsequent myocardial infarction (disorder),False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-01-19T23:06:37.890Z
[VSAC Bulk-Import test] Acute Myocardial Infarction (AMI),[VSAC Bulk-Import test] Acute Myocardial Infarction (AMI),,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,"Clinical Focus: This grouping value set contains diagnoses used to identify patients with acute myocardial infarction.; Data Element Scope: The intent of this data element is to identify patients with a diagnosis of acute myocardial infarction. Using the Quality Data Model, this particular element would map to the Principal Diagnosis attribute for the Encounter category.; Inclusion Criteria: Include codes that identify patients with acute myocardial infarction. This is a grouping of ICD10CM and SNOMEDCT codes.",,Subsequent myocardial infarction of anterior wall (disorder),False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-01-19T23:06:37.890Z
[VSAC Bulk-Import test] Acute Myocardial Infarction (AMI),[VSAC Bulk-Import test] Acute Myocardial Infarction (AMI),,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,"Clinical Focus: This grouping value set contains diagnoses used to identify patients with acute myocardial infarction.; Data Element Scope: The intent of this data element is to identify patients with a diagnosis of acute myocardial infarction. Using the Quality Data Model, this particular element would map to the Principal Diagnosis attribute for the Encounter category.; Inclusion Criteria: Include codes that identify patients with acute myocardial infarction. This is a grouping of ICD10CM and SNOMEDCT codes.",,Subsequent myocardial infarction of inferior wall (disorder),False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-01-19T23:06:37.890Z
[VSAC Bulk-Import test] Acute Myocardial Infarction (AMI),[VSAC Bulk-Import test] Acute Myocardial Infarction (AMI),,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,"Clinical Focus: This grouping value set contains diagnoses used to identify patients with acute myocardial infarction.; Data Element Scope: The intent of this data element is to identify patients with a diagnosis of acute myocardial infarction. Using the Quality Data Model, this particular element would map to the Principal Diagnosis attribute for the Encounter category.; Inclusion Criteria: Include codes that identify patients with acute myocardial infarction. This is a grouping of ICD10CM and SNOMEDCT codes.",,Acute myocardial infarction due to right coronary artery occlusion (disorder),False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-01-19T23:06:37.890Z
[VSAC Bulk-Import test] Acute Myocardial Infarction (AMI),[VSAC Bulk-Import test] Acute Myocardial Infarction (AMI),,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,"Clinical Focus: This grouping value set contains diagnoses used to identify patients with acute myocardial infarction.; Data Element Scope: The intent of this data element is to identify patients with a diagnosis of acute myocardial infarction. Using the Quality Data Model, this particular element would map to the Principal Diagnosis attribute for the Encounter category.; Inclusion Criteria: Include codes that identify patients with acute myocardial infarction. This is a grouping of ICD10CM and SNOMEDCT codes.",,Acute Q wave infarction - anteroseptal (disorder),False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-01-19T23:06:37.890Z
[VSAC Bulk-Import test] Acute Myocardial Infarction (AMI),[VSAC Bulk-Import test] Acute Myocardial Infarction (AMI),,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,"Clinical Focus: This grouping value set contains diagnoses used to identify patients with acute myocardial infarction.; Data Element Scope: The intent of this data element is to identify patients with a diagnosis of acute myocardial infarction. Using the Quality Data Model, this particular element would map to the Principal Diagnosis attribute for the Encounter category.; Inclusion Criteria: Include codes that identify patients with acute myocardial infarction. This is a grouping of ICD10CM and SNOMEDCT codes.",,Acute non-Q wave infarction - anteroseptal (disorder),False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-01-19T23:06:37.890Z
[VSAC Bulk-Import test] Acute Myocardial Infarction (AMI),[VSAC Bulk-Import test] Acute Myocardial Infarction (AMI),,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,"Clinical Focus: This grouping value set contains diagnoses used to identify patients with acute myocardial infarction.; Data Element Scope: The intent of this data element is to identify patients with a diagnosis of acute myocardial infarction. Using the Quality Data Model, this particular element would map to the Principal Diagnosis attribute for the Encounter category.; Inclusion Criteria: Include codes that identify patients with acute myocardial infarction. This is a grouping of ICD10CM and SNOMEDCT codes.",,Acute Q wave infarction - anterolateral (disorder),False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-01-19T23:06:37.890Z
[VSAC Bulk-Import test] Acute Myocardial Infarction (AMI),[VSAC Bulk-Import test] Acute Myocardial Infarction (AMI),,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,"Clinical Focus: This grouping value set contains diagnoses used to identify patients with acute myocardial infarction.; Data Element Scope: The intent of this data element is to identify patients with a diagnosis of acute myocardial infarction. Using the Quality Data Model, this particular element would map to the Principal Diagnosis attribute for the Encounter category.; Inclusion Criteria: Include codes that identify patients with acute myocardial infarction. This is a grouping of ICD10CM and SNOMEDCT codes.",,Acute non-Q wave infarction - anterolateral (disorder),False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-01-19T23:06:37.890Z
[VSAC Bulk-Import test] Acute Myocardial Infarction (AMI),[VSAC Bulk-Import test] Acute Myocardial Infarction (AMI),,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,"Clinical Focus: This grouping value set contains diagnoses used to identify patients with acute myocardial infarction.; Data Element Scope: The intent of this data element is to identify patients with a diagnosis of acute myocardial infarction. Using the Quality Data Model, this particular element would map to the Principal Diagnosis attribute for the Encounter category.; Inclusion Criteria: Include codes that identify patients with acute myocardial infarction. This is a grouping of ICD10CM and SNOMEDCT codes.",,Acute Q wave infarction - inferior (disorder),False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-01-19T23:06:37.890Z
[VSAC Bulk-Import test] Acute Myocardial Infarction (AMI),[VSAC Bulk-Import test] Acute Myocardial Infarction (AMI),,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,"Clinical Focus: This grouping value set contains diagnoses used to identify patients with acute myocardial infarction.; Data Element Scope: The intent of this data element is to identify patients with a diagnosis of acute myocardial infarction. Using the Quality Data Model, this particular element would map to the Principal Diagnosis attribute for the Encounter category.; Inclusion Criteria: Include codes that identify patients with acute myocardial infarction. This is a grouping of ICD10CM and SNOMEDCT codes.",,Acute non-Q wave infarction - inferior (disorder),False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-01-19T23:06:37.890Z
[VSAC Bulk-Import test] Acute Myocardial Infarction (AMI),[VSAC Bulk-Import test] Acute Myocardial Infarction (AMI),,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,"Clinical Focus: This grouping value set contains diagnoses used to identify patients with acute myocardial infarction.; Data Element Scope: The intent of this data element is to identify patients with a diagnosis of acute myocardial infarction. Using the Quality Data Model, this particular element would map to the Principal Diagnosis attribute for the Encounter category.; Inclusion Criteria: Include codes that identify patients with acute myocardial infarction. This is a grouping of ICD10CM and SNOMEDCT codes.",,Acute Q wave infarction - inferolateral (disorder),False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-01-19T23:06:37.890Z
[VSAC Bulk-Import test] Acute Myocardial Infarction (AMI),[VSAC Bulk-Import test] Acute Myocardial Infarction (AMI),,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,"Clinical Focus: This grouping value set contains diagnoses used to identify patients with acute myocardial infarction.; Data Element Scope: The intent of this data element is to identify patients with a diagnosis of acute myocardial infarction. Using the Quality Data Model, this particular element would map to the Principal Diagnosis attribute for the Encounter category.; Inclusion Criteria: Include codes that identify patients with acute myocardial infarction. This is a grouping of ICD10CM and SNOMEDCT codes.",,Acute non-Q wave infarction - inferolateral (disorder),False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-01-19T23:06:37.890Z
[VSAC Bulk-Import test] Acute Myocardial Infarction (AMI),[VSAC Bulk-Import test] Acute Myocardial Infarction (AMI),,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,"Clinical Focus: This grouping value set contains diagnoses used to identify patients with acute myocardial infarction.; Data Element Scope: The intent of this data element is to identify patients with a diagnosis of acute myocardial infarction. Using the Quality Data Model, this particular element would map to the Principal Diagnosis attribute for the Encounter category.; Inclusion Criteria: Include codes that identify patients with acute myocardial infarction. This is a grouping of ICD10CM and SNOMEDCT codes.",,Acute Q wave infarction - lateral (disorder),False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-01-19T23:06:37.890Z
[VSAC Bulk-Import test] Acute Myocardial Infarction (AMI),[VSAC Bulk-Import test] Acute Myocardial Infarction (AMI),,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,"Clinical Focus: This grouping value set contains diagnoses used to identify patients with acute myocardial infarction.; Data Element Scope: The intent of this data element is to identify patients with a diagnosis of acute myocardial infarction. Using the Quality Data Model, this particular element would map to the Principal Diagnosis attribute for the Encounter category.; Inclusion Criteria: Include codes that identify patients with acute myocardial infarction. This is a grouping of ICD10CM and SNOMEDCT codes.",,Acute non-Q wave infarction - lateral (disorder),False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-01-19T23:06:37.890Z
[VSAC Bulk-Import test] Acute Myocardial Infarction (AMI),[VSAC Bulk-Import test] Acute Myocardial Infarction (AMI),,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,"Clinical Focus: This grouping value set contains diagnoses used to identify patients with acute myocardial infarction.; Data Element Scope: The intent of this data element is to identify patients with a diagnosis of acute myocardial infarction. Using the Quality Data Model, this particular element would map to the Principal Diagnosis attribute for the Encounter category.; Inclusion Criteria: Include codes that identify patients with acute myocardial infarction. This is a grouping of ICD10CM and SNOMEDCT codes.",,Acute widespread myocardial infarction (disorder),False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-01-19T23:06:37.890Z
[VSAC Bulk-Import test] Acute Myocardial Infarction (AMI),[VSAC Bulk-Import test] Acute Myocardial Infarction (AMI),,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,"Clinical Focus: This grouping value set contains diagnoses used to identify patients with acute myocardial infarction.; Data Element Scope: The intent of this data element is to identify patients with a diagnosis of acute myocardial infarction. Using the Quality Data Model, this particular element would map to the Principal Diagnosis attribute for the Encounter category.; Inclusion Criteria: Include codes that identify patients with acute myocardial infarction. This is a grouping of ICD10CM and SNOMEDCT codes.",,Acute Q wave infarction - widespread (disorder),False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-01-19T23:06:37.890Z
[VSAC Bulk-Import test] Acute Myocardial Infarction (AMI),[VSAC Bulk-Import test] Acute Myocardial Infarction (AMI),,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,"Clinical Focus: This grouping value set contains diagnoses used to identify patients with acute myocardial infarction.; Data Element Scope: The intent of this data element is to identify patients with a diagnosis of acute myocardial infarction. Using the Quality Data Model, this particular element would map to the Principal Diagnosis attribute for the Encounter category.; Inclusion Criteria: Include codes that identify patients with acute myocardial infarction. This is a grouping of ICD10CM and SNOMEDCT codes.",,Acute non-Q wave infarction - widespread (disorder),False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-01-19T23:06:37.890Z
[VSAC Bulk-Import test] Acute Myocardial Infarction (AMI),[VSAC Bulk-Import test] Acute Myocardial Infarction (AMI),,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,"Clinical Focus: This grouping value set contains diagnoses used to identify patients with acute myocardial infarction.; Data Element Scope: The intent of this data element is to identify patients with a diagnosis of acute myocardial infarction. Using the Quality Data Model, this particular element would map to the Principal Diagnosis attribute for the Encounter category.; Inclusion Criteria: Include codes that identify patients with acute myocardial infarction. This is a grouping of ICD10CM and SNOMEDCT codes.",,Acute posterior myocardial infarction (disorder),False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-01-19T23:06:37.890Z
[VSAC Bulk-Import test] Acute Myocardial Infarction (AMI),[VSAC Bulk-Import test] Acute Myocardial Infarction (AMI),,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,"Clinical Focus: This grouping value set contains diagnoses used to identify patients with acute myocardial infarction.; Data Element Scope: The intent of this data element is to identify patients with a diagnosis of acute myocardial infarction. Using the Quality Data Model, this particular element would map to the Principal Diagnosis attribute for the Encounter category.; Inclusion Criteria: Include codes that identify patients with acute myocardial infarction. This is a grouping of ICD10CM and SNOMEDCT codes.",,Acute myocardial infarction of basal-lateral wall (disorder),False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-01-19T23:06:37.890Z
