codeset_id,concept_set_name,concept_set_version_title,project,source_application,source_application_version,created_at,atlas_json,is_most_recent_version,version,comments,intention,limitations,issues,update_message,status,has_review,reviewed_by,created_by,provenance,atlas_json_resource_url,parent_version_id,is_draft
1000000003,[VSAC] Blood Transfusion 213,[VSAC] Blood Transfusion 213 (v1),RP-4A9E,EXTERNAL VSAC,,2022-03-01T00:29:39.864Z,,True,1,Exported from VSAC and bulk imported to N3C.,Clinical Focus: The purpose of this value set is to group procedures of blood transfusions.; Data Element Scope: This value set may use a model element related to procedure.; Inclusion Criteria: Includes concepts that represent procedures of a blood transfusion.,Exclusion Criteria: No exclusions.,,Initial version.,Under Construction,,,a39723f3-dc9c-48ce-90ff-06891c29114f,"Steward: The Joint Commission; OID: 2.16.840.1.113762.1.4.1029.213; Code System(s): SNOMEDCT,ICD10PCS; Definition Type: Grouping; Definition Version: Latest; Accessed: 2022-02-28 19:29:39",,,True
1000000007,[VSAC] Anemia 323,[VSAC] Anemia 323 (v1),RP-4A9E,EXTERNAL VSAC,,2022-03-01T00:29:39.864Z,,True,1,Exported from VSAC and bulk imported to N3C.,Clinical Focus: The purpose of this value set is to group diagnoses of anemia.; Data Element Scope: This value set may use a model element related to diagnosis.; Inclusion Criteria: Includes concepts that identify a diagnosis of an anemia.,Exclusion Criteria: No exclusions.,,Initial version.,Under Construction,,,a39723f3-dc9c-48ce-90ff-06891c29114f,Steward: The Joint Commission; OID: 2.16.840.1.113762.1.4.1029.323; Code System(s): ICD10CM; Definition Type: Grouping; Definition Version: Latest; Accessed: 2022-02-28 19:29:39,,,True
1000000021,[VSAC] Acute Renal Failure 216,[VSAC] Acute Renal Failure 216 (v1),RP-4A9E,EXTERNAL VSAC,,2022-03-01T00:29:39.865Z,,True,1,Exported from VSAC and bulk imported to N3C.,Clinical Focus: The purpose of this value set is to identify diagnoses of acute renal failure.; Data Element Scope: This value set may use a model element related to diagnosis.; Inclusion Criteria: Includes concepts that identify a diagnosis of an acute renal failure.,Exclusion Criteria: Excludes concepts that identify chronic conditions.,,Initial version.,Under Construction,,,a39723f3-dc9c-48ce-90ff-06891c29114f,Steward: The Joint Commission; OID: 2.16.840.1.113762.1.4.1029.216; Code System(s): SNOMEDCT; Definition Type: Extensional; Definition Version: Latest; Accessed: 2022-02-28 19:29:39,,,True
1000000022,[VSAC] Acute Renal Failure 53,[VSAC] Acute Renal Failure 53 (v1),RP-4A9E,EXTERNAL VSAC,,2022-03-01T00:29:39.865Z,,True,1,Exported from VSAC and bulk imported to N3C.,Clinical Focus: The purpose of this value set is to identify diagnoses of acute renal failure.; Data Element Scope: This value set may use a model element related to diagnosis.; Inclusion Criteria: Includes concepts that identify a diagnosis of an acute renal failure.,Exclusion Criteria: Excludes concepts that identify chronic conditions.,,Initial version.,Under Construction,,,a39723f3-dc9c-48ce-90ff-06891c29114f,Steward: The Joint Commission; OID: 2.16.840.1.113762.1.4.1110.53; Code System(s): ICD10CM; Definition Type: Extensional; Definition Version: Latest; Accessed: 2022-02-28 19:29:39,,,True
1000000168,[VSAC] Disseminated Intravascular Coagulation 223 223,[VSAC] Disseminated Intravascular Coagulation 223 223 (v1),RP-4A9E,EXTERNAL VSAC,,2022-03-01T00:29:39.865Z,,True,1,Exported from VSAC and bulk imported to N3C.,Clinical Focus: The purpose of this value set is to identify diagnoses of disseminated intravascular coagulation (DIC).; Data Element Scope: This value set may use a model element related to diagnosis.; Inclusion Criteria: Includes concepts that identify a diagnosis of disseminated intravascular coagulation (DIC).,Exclusion Criteria: No exclusions.,,Initial version.,Under Construction,,,a39723f3-dc9c-48ce-90ff-06891c29114f,Steward: The Joint Commission; OID: 2.16.840.1.113762.1.4.1029.223; Code System(s): ICD10CM; Definition Type: Extensional; Definition Version: Latest; Accessed: 2022-02-28 19:29:39,,,True
1000000168,[VSAC] Disseminated Intravascular Coagulation 223 223,[VSAC] Disseminated Intravascular Coagulation 223 223 (v1),RP-4A9E,EXTERNAL VSAC,,2022-03-01T00:29:39.865Z,,True,1,Exported from VSAC and bulk imported to N3C.,Clinical Focus: The purpose of this value set is to identify diagnoses of disseminated intravascular coagulation (DIC).; Data Element Scope: This value set may use a model element related to diagnosis.; Inclusion Criteria: Includes concepts that identify a diagnosis of disseminated intravascular coagulation (DIC).,Exclusion Criteria: No exclusions.,,Initial version.,Under Construction,,,a39723f3-dc9c-48ce-90ff-06891c29114f,Steward: The Joint Commission; OID: 2.16.840.1.113762.1.4.1029.223; Code System(s): ICD10CM; Definition Type: Extensional; Definition Version: Latest; Accessed: 2022-02-28 19:29:39,,,True
1000000169,[VSAC] Disseminated Intravascular Coagulation 224 224,[VSAC] Disseminated Intravascular Coagulation 224 224 (v1),RP-4A9E,EXTERNAL VSAC,,2022-03-01T00:29:39.866Z,,True,1,Exported from VSAC and bulk imported to N3C.,Clinical Focus: The purpose of this value set is to identify diagnoses of disseminated intravascular coagulation (DIC).; Data Element Scope: This value set may use a model element related to diagnosis.; Inclusion Criteria: Includes concepts that identify a diagnosis of disseminated intravascular coagulation (DIC).,Exclusion Criteria: No exclusions.,,Initial version.,Under Construction,,,a39723f3-dc9c-48ce-90ff-06891c29114f,Steward: The Joint Commission; OID: 2.16.840.1.113762.1.4.1029.224; Code System(s): SNOMEDCT; Definition Type: Extensional; Definition Version: Latest; Accessed: 2022-02-28 19:29:39,,,True
1000000169,[VSAC] Disseminated Intravascular Coagulation 224 224,[VSAC] Disseminated Intravascular Coagulation 224 224 (v1),RP-4A9E,EXTERNAL VSAC,,2022-03-01T00:29:39.866Z,,True,1,Exported from VSAC and bulk imported to N3C.,Clinical Focus: The purpose of this value set is to identify diagnoses of disseminated intravascular coagulation (DIC).; Data Element Scope: This value set may use a model element related to diagnosis.; Inclusion Criteria: Includes concepts that identify a diagnosis of disseminated intravascular coagulation (DIC).,Exclusion Criteria: No exclusions.,,Initial version.,Under Construction,,,a39723f3-dc9c-48ce-90ff-06891c29114f,Steward: The Joint Commission; OID: 2.16.840.1.113762.1.4.1029.224; Code System(s): SNOMEDCT; Definition Type: Extensional; Definition Version: Latest; Accessed: 2022-02-28 19:29:39,,,True
1000000170,[VSAC] Acute Respiratory Distress Syndrome 214 214,[VSAC] Acute Respiratory Distress Syndrome 214 214 (v1),RP-4A9E,EXTERNAL VSAC,,2022-03-01T00:29:39.866Z,,True,1,Exported from VSAC and bulk imported to N3C.,Clinical Focus: The purpose of this value set is to identify diagnoses of acute respiratory distress syndrome.; Data Element Scope: This value set may use a model element related to diagnosis.; Inclusion Criteria: Includes concepts that identify a diagnosis of an acute respiratory distress syndrome.,Exclusion Criteria: Excludes concepts that identify chronic conditions.,,Initial version.,Under Construction,,,a39723f3-dc9c-48ce-90ff-06891c29114f,Steward: The Joint Commission; OID: 2.16.840.1.113762.1.4.1029.214; Code System(s): ICD10CM; Definition Type: Extensional; Definition Version: Latest; Accessed: 2022-02-28 19:29:39,,,True
1000000170,[VSAC] Acute Respiratory Distress Syndrome 214 214,[VSAC] Acute Respiratory Distress Syndrome 214 214 (v1),RP-4A9E,EXTERNAL VSAC,,2022-03-01T00:29:39.866Z,,True,1,Exported from VSAC and bulk imported to N3C.,Clinical Focus: The purpose of this value set is to identify diagnoses of acute respiratory distress syndrome.; Data Element Scope: This value set may use a model element related to diagnosis.; Inclusion Criteria: Includes concepts that identify a diagnosis of an acute respiratory distress syndrome.,Exclusion Criteria: Excludes concepts that identify chronic conditions.,,Initial version.,Under Construction,,,a39723f3-dc9c-48ce-90ff-06891c29114f,Steward: The Joint Commission; OID: 2.16.840.1.113762.1.4.1029.214; Code System(s): ICD10CM; Definition Type: Extensional; Definition Version: Latest; Accessed: 2022-02-28 19:29:39,,,True
1000000171,[VSAC] Acute Respiratory Distress Syndrome 215 215,[VSAC] Acute Respiratory Distress Syndrome 215 215 (v1),RP-4A9E,EXTERNAL VSAC,,2022-03-01T00:29:39.867Z,,True,1,Exported from VSAC and bulk imported to N3C.,Clinical Focus: The purpose of this value set is to identify diagnoses of acute respiratory distress syndrome.; Data Element Scope: This value set may use a model element related to diagnosis.; Inclusion Criteria: Includes concepts that identify a diagnosis of an acute respiratory distress syndrome.,Exclusion Criteria: Excludes concepts that identify chronic conditions.,,Initial version.,Under Construction,,,a39723f3-dc9c-48ce-90ff-06891c29114f,Steward: The Joint Commission; OID: 2.16.840.1.113762.1.4.1029.215; Code System(s): SNOMEDCT; Definition Type: Extensional; Definition Version: Latest; Accessed: 2022-02-28 19:29:39,,,True
1000000171,[VSAC] Acute Respiratory Distress Syndrome 215 215,[VSAC] Acute Respiratory Distress Syndrome 215 215 (v1),RP-4A9E,EXTERNAL VSAC,,2022-03-01T00:29:39.867Z,,True,1,Exported from VSAC and bulk imported to N3C.,Clinical Focus: The purpose of this value set is to identify diagnoses of acute respiratory distress syndrome.; Data Element Scope: This value set may use a model element related to diagnosis.; Inclusion Criteria: Includes concepts that identify a diagnosis of an acute respiratory distress syndrome.,Exclusion Criteria: Excludes concepts that identify chronic conditions.,,Initial version.,Under Construction,,,a39723f3-dc9c-48ce-90ff-06891c29114f,Steward: The Joint Commission; OID: 2.16.840.1.113762.1.4.1029.215; Code System(s): SNOMEDCT; Definition Type: Extensional; Definition Version: Latest; Accessed: 2022-02-28 19:29:39,,,True
1000000027,[VSAC] Acute Heart Failure 233,[VSAC] Acute Heart Failure 233 (v1),RP-4A9E,EXTERNAL VSAC,,2022-03-01T00:29:39.867Z,,True,1,Exported from VSAC and bulk imported to N3C.,Clinical Focus: The purpose of this value set is to identify diagnoses of acute heart failure.; Data Element Scope: This value set may use a model element related to diagnosis.; Inclusion Criteria: Includes concepts that identify a diagnosis of acute heart failure.,Exclusion Criteria: Excludes concepts that identify chronic conditions.,,Initial version.,Under Construction,,,a39723f3-dc9c-48ce-90ff-06891c29114f,Steward: The Joint Commission; OID: 2.16.840.1.113762.1.4.1029.233; Code System(s): ICD10CM; Definition Type: Extensional; Definition Version: Latest; Accessed: 2022-02-28 19:29:39,,,True
1000000028,[VSAC] Acute Heart Failure 234,[VSAC] Acute Heart Failure 234 (v1),RP-4A9E,EXTERNAL VSAC,,2022-03-01T00:29:39.867Z,,True,1,Exported from VSAC and bulk imported to N3C.,Clinical Focus: The purpose of this value set is to identify diagnoses of acute heart failure.; Data Element Scope: This value set may use a model element related to diagnosis.; Inclusion Criteria: Includes concepts that identify a diagnosis of an acute heart failure.,Exclusion Criteria: Excludes concepts that identify chronic conditions.,,Initial version.,Under Construction,,,a39723f3-dc9c-48ce-90ff-06891c29114f,Steward: The Joint Commission; OID: 2.16.840.1.113762.1.4.1029.234; Code System(s): SNOMEDCT; Definition Type: Extensional; Definition Version: Latest; Accessed: 2022-02-28 19:29:39,,,True
1000000029,[VSAC] Air and Thrombotic Embolism 243,[VSAC] Air and Thrombotic Embolism 243 (v1),RP-4A9E,EXTERNAL VSAC,,2022-03-01T00:29:39.868Z,,True,1,Exported from VSAC and bulk imported to N3C.,Clinical Focus: The purpose of this value set is to identify diagnoses of air and thrombotic embolisms.; Data Element Scope: This value set may use a model element related to diagnosis.; Inclusion Criteria: Includes concepts that identify a diagnosis of an air and thrombotic embolism.,Exclusion Criteria: Excludes concepts that identify chronic conditions.,,Initial version.,Under Construction,,,a39723f3-dc9c-48ce-90ff-06891c29114f,Steward: The Joint Commission; OID: 2.16.840.1.113762.1.4.1029.243; Code System(s): ICD10CM; Definition Type: Extensional; Definition Version: Latest; Accessed: 2022-02-28 19:29:39,,,True
1000000030,[VSAC] Air and Thrombotic Embolism 244,[VSAC] Air and Thrombotic Embolism 244 (v1),RP-4A9E,EXTERNAL VSAC,,2022-03-01T00:29:39.868Z,,True,1,Exported from VSAC and bulk imported to N3C.,Clinical Focus: The purpose of this value set is to identify diagnoses of air and thrombotic embolisms.; Data Element Scope: This value set may use a model element related to diagnosis.; Inclusion Criteria: Includes concepts that identify a diagnosis of an air and thrombotic embolism.,Exclusion Criteria: Excludes concepts that identify chronic conditions.,,Initial version.,Under Construction,,,a39723f3-dc9c-48ce-90ff-06891c29114f,Steward: The Joint Commission; OID: 2.16.840.1.113762.1.4.1029.244; Code System(s): SNOMEDCT; Definition Type: Extensional; Definition Version: Latest; Accessed: 2022-02-28 19:29:39,,,True
