codeset_id,concept_set_name,concept_set_version_title,project,source_application,source_application_version,created_at,atlas_json,is_most_recent_version,version,comments,intention,limitations,issues,update_message,status,has_review,reviewed_by,created_by,provenance,atlas_json_resource_url,parent_version_id,is_draft,enclave_codeset_id,enclave_codeset_id_updated_at
1000000002,[VSAC] Active Bleeding 211,[VSAC] Active Bleeding 211 (v1),RP-4A9E27,EXTERNAL VSAC,,2022-04-05T22:52:18.688Z,,True,1,Exported from VSAC and bulk imported to N3C.,Clinical Focus: This value set contains concepts that represent post operative hemorrhaging.; Data Element Scope: This value set may use Quality Data Model (QDM) category related to the finding category or diagnosis code. The intent of this data element is to identify patients with post operative hemorrhaging.; Inclusion Criteria: Includes only relevant concepts associated with post operative hemorrhaging.,Exclusion Criteria: Concepts that do not indicate a post operative hemorrhage.,,Initial version.,Under Construction,,,a39723f3-dc9c-48ce-90ff-06891c29114f,"Steward: The Joint Commission; OID: 2.16.840.1.113762.1.4.1029.211; dih_id: 1000000002; Code System(s): SNOMEDCT,ICD10CM; Definition Type: Grouping; Definition Version: Latest; Accessed: 2022-04-05 18:52:18",,,True,,
1000000003,[VSAC] Blood Transfusion 213,[VSAC] Blood Transfusion 213 (v1),RP-4A9E27,EXTERNAL VSAC,,2022-04-05T22:52:18.688Z,,True,1,Exported from VSAC and bulk imported to N3C.,Clinical Focus: The purpose of this value set is to group procedures of blood transfusions.; Data Element Scope: This value set may use a model element related to procedure.; Inclusion Criteria: Includes concepts that represent procedures of a blood transfusion.,Exclusion Criteria: No exclusions.,,Initial version.,Under Construction,,,a39723f3-dc9c-48ce-90ff-06891c29114f,"Steward: The Joint Commission; OID: 2.16.840.1.113762.1.4.1029.213; dih_id: 1000000003; Code System(s): SNOMEDCT,ICD10PCS; Definition Type: Grouping; Definition Version: Latest; Accessed: 2022-04-05 18:52:18",,,True,,
1000000005,[VSAC] Bleeding Disorder 287,[VSAC] Bleeding Disorder 287 (v1),RP-4A9E27,EXTERNAL VSAC,,2022-04-05T22:52:18.689Z,,True,1,Exported from VSAC and bulk imported to N3C.,Clinical Focus: The purpose of this value set is to group diagnoses of a bleeding disorders.; Data Element Scope: This value set may use a model element related to diagnosis.; Inclusion Criteria: Includes concepts that identify a diagnosis of a bleeding disorder.,Exclusion Criteria: No exclusions.,,Initial version.,Under Construction,,,a39723f3-dc9c-48ce-90ff-06891c29114f,Steward: The Joint Commission; OID: 2.16.840.1.113762.1.4.1029.287; dih_id: 1000000005; Code System(s): ICD10CM; Definition Type: Grouping; Definition Version: Latest; Accessed: 2022-04-05 18:52:18,,,True,,
1000000006,[VSAC] Bariatric Surgery 317,[VSAC] Bariatric Surgery 317 (v1),RP-4A9E27,EXTERNAL VSAC,,2022-04-05T22:52:18.689Z,,True,1,Exported from VSAC and bulk imported to N3C.,Clinical Focus: The purpose of this value set is to group diagnoses of bariatric surgery.; Data Element Scope: This value set may use a model element related to diagnosis.; Inclusion Criteria: Includes concepts that identify a diagnosis of a bariatric surgery.,Exclusion Criteria: No exclusions.,,Initial version.,Under Construction,,,a39723f3-dc9c-48ce-90ff-06891c29114f,Steward: The Joint Commission; OID: 2.16.840.1.113762.1.4.1029.317; dih_id: 1000000006; Code System(s): ICD10CM; Definition Type: Grouping; Definition Version: Latest; Accessed: 2022-04-05 18:52:18,,,True,,
1000000007,[VSAC] Anemia 323,[VSAC] Anemia 323 (v1),RP-4A9E27,EXTERNAL VSAC,,2022-04-05T22:52:18.689Z,,True,1,Exported from VSAC and bulk imported to N3C.,Clinical Focus: The purpose of this value set is to group diagnoses of anemia.; Data Element Scope: This value set may use a model element related to diagnosis.; Inclusion Criteria: Includes concepts that identify a diagnosis of an anemia.,Exclusion Criteria: No exclusions.,,Initial version.,Under Construction,,,a39723f3-dc9c-48ce-90ff-06891c29114f,Steward: The Joint Commission; OID: 2.16.840.1.113762.1.4.1029.323; dih_id: 1000000007; Code System(s): ICD10CM; Definition Type: Grouping; Definition Version: Latest; Accessed: 2022-04-05 18:52:18,,,True,,
1000000014,[VSAC] Atrial Fibrillation/Flutter 202,[VSAC] Atrial Fibrillation/Flutter 202 (v1),RP-4A9E27,EXTERNAL VSAC,,2022-04-05T22:52:18.690Z,,True,1,Exported from VSAC and bulk imported to N3C.,Clinical Focus: The purpose of this value set is to represent concepts of diagnoses to identify patients with a history of atrial fibrillation/flutter or a current finding of atrial fibrillation/flutter.; Data Element Scope: This value set may use a model element related to Diagnosis.; Inclusion Criteria: Includes concepts that identify a diagnosis of a history of atrial fibrillation/flutter or a current finding of atrial fibrillation/flutter.,Exclusion Criteria: No exclusions.,,Initial version.,Under Construction,,,a39723f3-dc9c-48ce-90ff-06891c29114f,"Steward: The Joint Commission; OID: 2.16.840.1.113883.3.117.1.7.1.202; dih_id: 1000000014; Code System(s): SNOMEDCT,ICD9CM,ICD10CM; Definition Type: Grouping; Definition Version: Latest; Accessed: 2022-04-05 18:52:18",,,True,,
1000000021,[VSAC] Acute Renal Failure 216,[VSAC] Acute Renal Failure 216 (v1),RP-4A9E27,EXTERNAL VSAC,,2022-04-05T22:52:18.690Z,,True,1,Exported from VSAC and bulk imported to N3C.,Clinical Focus: The purpose of this value set is to identify diagnoses of acute renal failure.; Data Element Scope: This value set may use a model element related to diagnosis.; Inclusion Criteria: Includes concepts that identify a diagnosis of an acute renal failure.,Exclusion Criteria: Excludes concepts that identify chronic conditions.,,Initial version.,Under Construction,,,a39723f3-dc9c-48ce-90ff-06891c29114f,Steward: The Joint Commission; OID: 2.16.840.1.113762.1.4.1029.216; dih_id: 1000000021; Code System(s): SNOMEDCT; Definition Type: Extensional; Definition Version: Latest; Accessed: 2022-04-05 18:52:18,,,True,,
1000000022,[VSAC] Acute Renal Failure 53,[VSAC] Acute Renal Failure 53 (v1),RP-4A9E27,EXTERNAL VSAC,,2022-04-05T22:52:18.690Z,,True,1,Exported from VSAC and bulk imported to N3C.,Clinical Focus: The purpose of this value set is to identify diagnoses of acute renal failure.; Data Element Scope: This value set may use a model element related to diagnosis.; Inclusion Criteria: Includes concepts that identify a diagnosis of an acute renal failure.,Exclusion Criteria: Excludes concepts that identify chronic conditions.,,Initial version.,Under Construction,,,a39723f3-dc9c-48ce-90ff-06891c29114f,Steward: The Joint Commission; OID: 2.16.840.1.113762.1.4.1110.53; dih_id: 1000000022; Code System(s): ICD10CM; Definition Type: Extensional; Definition Version: Latest; Accessed: 2022-04-05 18:52:18,,,True,,
1000000168,[VSAC] Disseminated Intravascular Coagulation 223,[VSAC] Disseminated Intravascular Coagulation 223 (v1),RP-4A9E27,EXTERNAL VSAC,,2022-04-05T22:52:18.690Z,,True,1,Exported from VSAC and bulk imported to N3C.,Clinical Focus: The purpose of this value set is to identify diagnoses of disseminated intravascular coagulation (DIC).; Data Element Scope: This value set may use a model element related to diagnosis.; Inclusion Criteria: Includes concepts that identify a diagnosis of disseminated intravascular coagulation (DIC).,Exclusion Criteria: No exclusions.,,Initial version.,Under Construction,,,a39723f3-dc9c-48ce-90ff-06891c29114f,Steward: The Joint Commission; OID: 2.16.840.1.113762.1.4.1029.223; dih_id: 1000000168; Code System(s): ICD10CM; Definition Type: Extensional; Definition Version: Latest; Accessed: 2022-04-05 18:52:18,,,True,,
1000000169,[VSAC] Disseminated Intravascular Coagulation 224,[VSAC] Disseminated Intravascular Coagulation 224 (v1),RP-4A9E27,EXTERNAL VSAC,,2022-04-05T22:52:18.691Z,,True,1,Exported from VSAC and bulk imported to N3C.,Clinical Focus: The purpose of this value set is to identify diagnoses of disseminated intravascular coagulation (DIC).; Data Element Scope: This value set may use a model element related to diagnosis.; Inclusion Criteria: Includes concepts that identify a diagnosis of disseminated intravascular coagulation (DIC).,Exclusion Criteria: No exclusions.,,Initial version.,Under Construction,,,a39723f3-dc9c-48ce-90ff-06891c29114f,Steward: The Joint Commission; OID: 2.16.840.1.113762.1.4.1029.224; dih_id: 1000000169; Code System(s): SNOMEDCT; Definition Type: Extensional; Definition Version: Latest; Accessed: 2022-04-05 18:52:18,,,True,,
1000000170,[VSAC] Acute Respiratory Distress Syndrome 214,[VSAC] Acute Respiratory Distress Syndrome 214 (v1),RP-4A9E27,EXTERNAL VSAC,,2022-04-05T22:52:18.691Z,,True,1,Exported from VSAC and bulk imported to N3C.,Clinical Focus: The purpose of this value set is to identify diagnoses of acute respiratory distress syndrome.; Data Element Scope: This value set may use a model element related to diagnosis.; Inclusion Criteria: Includes concepts that identify a diagnosis of an acute respiratory distress syndrome.,Exclusion Criteria: Excludes concepts that identify chronic conditions.,,Initial version.,Under Construction,,,a39723f3-dc9c-48ce-90ff-06891c29114f,Steward: The Joint Commission; OID: 2.16.840.1.113762.1.4.1029.214; dih_id: 1000000170; Code System(s): ICD10CM; Definition Type: Extensional; Definition Version: Latest; Accessed: 2022-04-05 18:52:18,,,True,,
1000000171,[VSAC] Acute Respiratory Distress Syndrome 215,[VSAC] Acute Respiratory Distress Syndrome 215 (v1),RP-4A9E27,EXTERNAL VSAC,,2022-04-05T22:52:18.691Z,,True,1,Exported from VSAC and bulk imported to N3C.,Clinical Focus: The purpose of this value set is to identify diagnoses of acute respiratory distress syndrome.; Data Element Scope: This value set may use a model element related to diagnosis.; Inclusion Criteria: Includes concepts that identify a diagnosis of an acute respiratory distress syndrome.,Exclusion Criteria: Excludes concepts that identify chronic conditions.,,Initial version.,Under Construction,,,a39723f3-dc9c-48ce-90ff-06891c29114f,Steward: The Joint Commission; OID: 2.16.840.1.113762.1.4.1029.215; dih_id: 1000000171; Code System(s): SNOMEDCT; Definition Type: Extensional; Definition Version: Latest; Accessed: 2022-04-05 18:52:18,,,True,,
1000000027,[VSAC] Acute Heart Failure 233,[VSAC] Acute Heart Failure 233 (v1),RP-4A9E27,EXTERNAL VSAC,,2022-04-05T22:52:18.691Z,,True,1,Exported from VSAC and bulk imported to N3C.,Clinical Focus: The purpose of this value set is to identify diagnoses of acute heart failure.; Data Element Scope: This value set may use a model element related to diagnosis.; Inclusion Criteria: Includes concepts that identify a diagnosis of acute heart failure.,Exclusion Criteria: Excludes concepts that identify chronic conditions.,,Initial version.,Under Construction,,,a39723f3-dc9c-48ce-90ff-06891c29114f,Steward: The Joint Commission; OID: 2.16.840.1.113762.1.4.1029.233; dih_id: 1000000027; Code System(s): ICD10CM; Definition Type: Extensional; Definition Version: Latest; Accessed: 2022-04-05 18:52:18,,,True,,
1000000028,[VSAC] Acute Heart Failure 234,[VSAC] Acute Heart Failure 234 (v1),RP-4A9E27,EXTERNAL VSAC,,2022-04-05T22:52:18.692Z,,True,1,Exported from VSAC and bulk imported to N3C.,Clinical Focus: The purpose of this value set is to identify diagnoses of acute heart failure.; Data Element Scope: This value set may use a model element related to diagnosis.; Inclusion Criteria: Includes concepts that identify a diagnosis of an acute heart failure.,Exclusion Criteria: Excludes concepts that identify chronic conditions.,,Initial version.,Under Construction,,,a39723f3-dc9c-48ce-90ff-06891c29114f,Steward: The Joint Commission; OID: 2.16.840.1.113762.1.4.1029.234; dih_id: 1000000028; Code System(s): SNOMEDCT; Definition Type: Extensional; Definition Version: Latest; Accessed: 2022-04-05 18:52:18,,,True,,
1000000029,[VSAC] Air and Thrombotic Embolism 243,[VSAC] Air and Thrombotic Embolism 243 (v1),RP-4A9E27,EXTERNAL VSAC,,2022-04-05T22:52:18.692Z,,True,1,Exported from VSAC and bulk imported to N3C.,Clinical Focus: The purpose of this value set is to identify diagnoses of air and thrombotic embolisms.; Data Element Scope: This value set may use a model element related to diagnosis.; Inclusion Criteria: Includes concepts that identify a diagnosis of an air and thrombotic embolism.,Exclusion Criteria: Excludes concepts that identify chronic conditions.,,Initial version.,Under Construction,,,a39723f3-dc9c-48ce-90ff-06891c29114f,Steward: The Joint Commission; OID: 2.16.840.1.113762.1.4.1029.243; dih_id: 1000000029; Code System(s): ICD10CM; Definition Type: Extensional; Definition Version: Latest; Accessed: 2022-04-05 18:52:18,,,True,,
1000000030,[VSAC] Air and Thrombotic Embolism 244,[VSAC] Air and Thrombotic Embolism 244 (v1),RP-4A9E27,EXTERNAL VSAC,,2022-04-05T22:52:18.692Z,,True,1,Exported from VSAC and bulk imported to N3C.,Clinical Focus: The purpose of this value set is to identify diagnoses of air and thrombotic embolisms.; Data Element Scope: This value set may use a model element related to diagnosis.; Inclusion Criteria: Includes concepts that identify a diagnosis of an air and thrombotic embolism.,Exclusion Criteria: Excludes concepts that identify chronic conditions.,,Initial version.,Under Construction,,,a39723f3-dc9c-48ce-90ff-06891c29114f,Steward: The Joint Commission; OID: 2.16.840.1.113762.1.4.1029.244; dih_id: 1000000030; Code System(s): SNOMEDCT; Definition Type: Extensional; Definition Version: Latest; Accessed: 2022-04-05 18:52:18,,,True,,
1000000164,[VSAC] Autoimmune Disease 309,[VSAC] Autoimmune Disease 309 (v1),RP-4A9E27,EXTERNAL VSAC,,2022-04-05T22:52:18.692Z,,True,1,Exported from VSAC and bulk imported to N3C.,Clinical Focus: The purpose of this value set is to identify diagnoses of autoimmune disease.; Data Element Scope: This value set may use a model element related to diagnosis.; Inclusion Criteria: Includes concepts that identify a diagnosis of an autoimmune disease.,Exclusion Criteria: No exclusions.,,Initial version.,Under Construction,,,a39723f3-dc9c-48ce-90ff-06891c29114f,Steward: The Joint Commission; OID: 2.16.840.1.113762.1.4.1029.309; dih_id: 1000000164; Code System(s): ICD10CM; Definition Type: Extensional; Definition Version: Latest; Accessed: 2022-04-05 18:52:18,,,True,,
1000000033,[VSAC] Eclampsia 225,[VSAC] Eclampsia 225 (v1),RP-4A9E27,EXTERNAL VSAC,,2022-04-05T22:52:18.693Z,,True,1,Exported from VSAC and bulk imported to N3C.,Clinical Focus: The purpose of this value set is to identify diagnoses of eclampsia.; Data Element Scope: This value set may use a model element related to diagnosis.; Inclusion Criteria: Includes concepts that identify a diagnosis of an eclampsia.,Exclusion Criteria: No exclusions.,,Initial version.,Under Construction,,,a39723f3-dc9c-48ce-90ff-06891c29114f,Steward: The Joint Commission; OID: 2.16.840.1.113762.1.4.1029.225; dih_id: 1000000033; Code System(s): ICD10CM; Definition Type: Extensional; Definition Version: Latest; Accessed: 2022-04-05 18:52:18,,,True,,
