concept_set_id,concept_set_name,project_id,assigned_informatician,assigned_sme,status,stage,intention,n3c_reviewer,alias,archived,created_by,created_at
[VSAC] Active Bleeding 211,[VSAC] Active Bleeding 211,,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,Clinical Focus: This value set contains concepts that represent post operative hemorrhaging.; Data Element Scope: This value set may use Quality Data Model (QDM) category related to the finding category or diagnosis code. The intent of this data element is to identify patients with post operative hemorrhaging.; Inclusion Criteria: Includes only relevant concepts associated with post operative hemorrhaging.,,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-04-05T22:52:18.837Z
[VSAC] Blood Transfusion 213,[VSAC] Blood Transfusion 213,,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,Clinical Focus: The purpose of this value set is to group procedures of blood transfusions.; Data Element Scope: This value set may use a model element related to procedure.; Inclusion Criteria: Includes concepts that represent procedures of a blood transfusion.,,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-04-05T22:52:18.837Z
[VSAC] Bleeding Disorder 287,[VSAC] Bleeding Disorder 287,,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,Clinical Focus: The purpose of this value set is to group diagnoses of a bleeding disorders.; Data Element Scope: This value set may use a model element related to diagnosis.; Inclusion Criteria: Includes concepts that identify a diagnosis of a bleeding disorder.,,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-04-05T22:52:18.838Z
[VSAC] Bariatric Surgery 317,[VSAC] Bariatric Surgery 317,,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,Clinical Focus: The purpose of this value set is to group diagnoses of bariatric surgery.; Data Element Scope: This value set may use a model element related to diagnosis.; Inclusion Criteria: Includes concepts that identify a diagnosis of a bariatric surgery.,,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-04-05T22:52:18.838Z
[VSAC] Anemia 323,[VSAC] Anemia 323,,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,Clinical Focus: The purpose of this value set is to group diagnoses of anemia.; Data Element Scope: This value set may use a model element related to diagnosis.; Inclusion Criteria: Includes concepts that identify a diagnosis of an anemia.,,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-04-05T22:52:18.838Z
[VSAC] Atrial Fibrillation/Flutter 202,[VSAC] Atrial Fibrillation/Flutter 202,,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,Clinical Focus: The purpose of this value set is to represent concepts of diagnoses to identify patients with a history of atrial fibrillation/flutter or a current finding of atrial fibrillation/flutter.; Data Element Scope: This value set may use a model element related to Diagnosis.; Inclusion Criteria: Includes concepts that identify a diagnosis of a history of atrial fibrillation/flutter or a current finding of atrial fibrillation/flutter.,,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-04-05T22:52:18.838Z
[VSAC] Acute Renal Failure 216,[VSAC] Acute Renal Failure 216,,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,Clinical Focus: The purpose of this value set is to identify diagnoses of acute renal failure.; Data Element Scope: This value set may use a model element related to diagnosis.; Inclusion Criteria: Includes concepts that identify a diagnosis of an acute renal failure.,,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-04-05T22:52:18.838Z
[VSAC] Acute Renal Failure 53,[VSAC] Acute Renal Failure 53,,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,Clinical Focus: The purpose of this value set is to identify diagnoses of acute renal failure.; Data Element Scope: This value set may use a model element related to diagnosis.; Inclusion Criteria: Includes concepts that identify a diagnosis of an acute renal failure.,,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-04-05T22:52:18.839Z
[VSAC] Disseminated Intravascular Coagulation 223,[VSAC] Disseminated Intravascular Coagulation 223,,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,Clinical Focus: The purpose of this value set is to identify diagnoses of disseminated intravascular coagulation (DIC).; Data Element Scope: This value set may use a model element related to diagnosis.; Inclusion Criteria: Includes concepts that identify a diagnosis of disseminated intravascular coagulation (DIC).,,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-04-05T22:52:18.839Z
[VSAC] Disseminated Intravascular Coagulation 224,[VSAC] Disseminated Intravascular Coagulation 224,,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,Clinical Focus: The purpose of this value set is to identify diagnoses of disseminated intravascular coagulation (DIC).; Data Element Scope: This value set may use a model element related to diagnosis.; Inclusion Criteria: Includes concepts that identify a diagnosis of disseminated intravascular coagulation (DIC).,,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-04-05T22:52:18.839Z
