,cset_name,cset_rxcui,rxcui,tty,rxnorm_name,concept_id,concept_name,concept_class_id
0,Dexamethasone,3264,1009389,BN,Tresaderm,40226322,Tresaderm,Brand Name
1,Dexamethasone,3264,1049383,BN,Dexium,40231786,Dexium,Brand Name
2,Dexamethasone,3264,134920,BN,Maxitrol,19015779,Maxitrol,Brand Name
3,Dexamethasone,3264,203704,BN,Dexasone,19047792,Dexasone,Brand Name
4,Dexamethasone,3264,203705,BN,Maxidex,19047794,Maxidex,Brand Name
5,Dexamethasone,3264,2045405,BN,Dexycu,1510433,Dexycu,Brand Name
6,Dexamethasone,3264,2108016,BN,Dextenza,1356081,Dextenza,Brand Name
7,Dexamethasone,3264,219289,BN,Poly-Dex,19077781,Poly-Dex,Brand Name
8,Dexamethasone,3264,220330,BN,Tobradex,19082889,Tobradex,Brand Name
9,Dexamethasone,3264,227682,BN,Decadron,19088949,Decadron,Brand Name
10,Dexamethasone,3264,2286256,BN,Hemady,37499307,Hemady,Brand Name
11,Dexamethasone,3264,404930,BN,Ciprodex,19045956,Ciprodex,Brand Name
12,Dexamethasone,3264,854178,BN,Ozurdex,40161348,Ozurdex,Brand Name
13,Dexamethasone,3264,1998481,BPCK,{49 (dexamethasone 1.5 MG Oral Tablet) } Pack [TaperDex 12 Day Taper],964311,{49 (dexamethasone 1.5 MG Oral Tablet) } Pack [TaperDex 12 Day Taper],Branded Pack
14,Dexamethasone,3264,1998482,BPCK,{21 (dexamethasone 1.5 MG Oral Tablet) } Pack [TaperDex 6 Day Taper],964312,{21 (dexamethasone 1.5 MG Oral Tablet) } Pack [TaperDex 6 Day Taper],Branded Pack
15,Dexamethasone,3264,2118829,BPCK,{21 (dexamethasone 1.5 MG Oral Tablet) } Pack [HiDex 6-Day Taper],1366731,{21 (dexamethasone 1.5 MG Oral Tablet) } Pack [HiDex 6-Day Taper],Branded Pack
16,Dexamethasone,3264,2118835,BPCK,{27 (dexamethasone 1.5 MG Oral Tablet) } Pack [TaperDex 7-Day Taper],1366732,{27 (dexamethasone 1.5 MG Oral Tablet) } Pack [TaperDex 7-Day Taper],Branded Pack
17,Dexamethasone,3264,2121735,BPCK,{39 (dexamethasone 1.5 MG Oral Tablet) } Pack [Dxevo 11 Day Taper],1511404,{39 (dexamethasone 1.5 MG Oral Tablet) } Pack [Dxevo 11 Day Taper],Branded Pack
18,Dexamethasone,3264,2387356,BPCK,{25 (dexamethasone 1.5 MG Oral Tablet) } Pack [Zcort 7 Day Taper],37003557,{25 (dexamethasone 1.5 MG Oral Tablet) } Pack [Zcort 7 Day Taper],Branded Pack
19,Dexamethasone,3264,795716,BPCK,{12 (dexamethasone 0.75 MG Oral Tablet [Decadron]) } Pack [Decadron 5-12],19130122,{12 (dexamethasone 0.75 MG Oral Tablet [Decadron]) } Pack [Decadron 5-12],Branded Pack
20,Dexamethasone,3264,797022,BPCK,{35 (dexamethasone 1.5 MG Oral Tablet) } Pack [DexPak TaperPak Junior 10 Day],19130269,{35 (dexamethasone 1.5 MG Oral Tablet) } Pack [DexPak TaperPak Junior 10 Day],Branded Pack
21,Dexamethasone,3264,797023,BPCK,{51 (dexamethasone 1.5 MG Oral Tablet) } Pack [DexPak TaperPak 13 Day],19130270,{51 (dexamethasone 1.5 MG Oral Tablet) } Pack [DexPak TaperPak 13 Day],Branded Pack
22,Dexamethasone,3264,847225,BPCK,{21 (dexamethasone 1.5 MG Oral Tablet) } Pack [DexPak TaperPak 6 Day],19135275,{21 (dexamethasone 1.5 MG Oral Tablet) } Pack [DexPak TaperPak 6 Day],Branded Pack
23,Dexamethasone,3264,126542,DF,Nasal Spray,19011167,Nasal Spray,Dose Form
24,Dexamethasone,3264,1649574,DF,Injection,46234469,Injection,Dose Form
25,Dexamethasone,3264,316949,DF,Injectable Solution,19082103,Injectable Solution,Dose Form
26,Dexamethasone,3264,316950,DF,Injectable Suspension,19082104,Injectable Suspension,Dose Form
27,Dexamethasone,3264,316964,DF,Ophthalmic Suspension,19082167,Ophthalmic Suspension,Dose Form
28,Dexamethasone,3264,316968,DF,Oral Solution,19082170,Oral Solution,Dose Form
29,Dexamethasone,3264,316974,DF,Otic Suspension,19082196,Otic Suspension,Dose Form
30,Dexamethasone,3264,316986,DF,Topical Solution,19082228,Topical Solution,Dose Form
31,Dexamethasone,3264,317541,DF,Oral Tablet,19082573,Oral Tablet,Dose Form
32,Dexamethasone,3264,657710,DF,Drug Implant,19124968,Drug Implant,Dose Form
33,Dexamethasone,3264,721656,DF,Prefilled Syringe,19126920,Prefilled Syringe,Dose Form
34,Dexamethasone,3264,7670,DF,Ophthalmic Solution,19129634,Ophthalmic Solution,Dose Form
35,Dexamethasone,3264,91344,DF,Ophthalmic Ointment,19135925,Ophthalmic Ointment,Dose Form
36,Dexamethasone,3264,1151122,DFG,Topical Product,36217206,Topical Product,Dose Form Group
37,Dexamethasone,3264,1151123,DFG,Inhalant Product,36217207,Inhalant Product,Dose Form Group
38,Dexamethasone,3264,1151126,DFG,Injectable Product,36217210,Injectable Product,Dose Form Group
39,Dexamethasone,3264,1151130,DFG,Nasal Product,36217213,Nasal Product,Dose Form Group
40,Dexamethasone,3264,1151131,DFG,Oral Product,36217214,Oral Product,Dose Form Group
41,Dexamethasone,3264,1151133,DFG,Pill,36217216,Pill,Dose Form Group
42,Dexamethasone,3264,1151134,DFG,Otic Product,36217217,Otic Product,Dose Form Group
43,Dexamethasone,3264,1151135,DFG,Ophthalmic Product,36217218,Ophthalmic Product,Dose Form Group
44,Dexamethasone,3264,1151136,DFG,Drug Implant Product,36217219,Drug Implant Product,Dose Form Group
45,Dexamethasone,3264,1151137,DFG,Oral Liquid Product,36217220,Oral Liquid Product,Dose Form Group
46,Dexamethasone,3264,1869595,GPCK,{27 (dexamethasone 1.5 MG Oral Tablet) } Pack,1592182,{27 (dexamethasone 1.5 MG Oral Tablet) } Pack,Clinical Pack
47,Dexamethasone,3264,1943550,GPCK,{49 (dexamethasone 1.5 MG Oral Tablet) } Pack,792331,{49 (dexamethasone 1.5 MG Oral Tablet) } Pack,Clinical Pack
48,Dexamethasone,3264,2121587,GPCK,{39 (dexamethasone 1.5 MG Oral Tablet) } Pack,1511403,{39 (dexamethasone 1.5 MG Oral Tablet) } Pack,Clinical Pack
49,Dexamethasone,3264,2387355,GPCK,{25 (dexamethasone 1.5 MG Oral Tablet) } Pack,37003556,{25 (dexamethasone 1.5 MG Oral Tablet) } Pack,Clinical Pack
50,Dexamethasone,3264,759481,GPCK,{51 (dexamethasone 1.5 MG Oral Tablet) } Pack,19129254,{51 (dexamethasone 1.5 MG Oral Tablet) } Pack,Clinical Pack
51,Dexamethasone,3264,759696,GPCK,{12 (dexamethasone 0.75 MG Oral Tablet) } Pack,19129289,{12 (dexamethasone 0.75 MG Oral Tablet) } Pack,Clinical Pack
52,Dexamethasone,3264,759697,GPCK,{35 (dexamethasone 1.5 MG Oral Tablet) } Pack,19129290,{35 (dexamethasone 1.5 MG Oral Tablet) } Pack,Clinical Pack
53,Dexamethasone,3264,846192,GPCK,{21 (dexamethasone 1.5 MG Oral Tablet) } Pack,19135172,{21 (dexamethasone 1.5 MG Oral Tablet) } Pack,Clinical Pack
54,Dexamethasone,3264,3264,IN,dexamethasone,1518254,dexamethasone,Ingredient
55,Dexamethasone,3264,1007105,MIN,astemizole / dexamethasone,36027236,astemizole / dexamethasone,Multiple Ingredients
56,Dexamethasone,3264,1007256,MIN,clioquinol / dexamethasone,36027382,clioquinol / dexamethasone,Multiple Ingredients
57,Dexamethasone,3264,1007423,MIN,dexamethasone / oxytetracycline,36027546,dexamethasone / oxytetracycline,Multiple Ingredients
