# curie_map:,,,,,,,,,,,
#  ICD10CM: http://purl.bioontology.org/ontology/ICD10CM/,,,,,,,,,,,
#  OMOP: https://athena.ohdsi.org/search-terms/terms/,,,,,,,,,,,
#  SNOMED: https://athena.ohdsi.org/search-terms/terms/,,,,,,,,,,,
#  license: http://w3id.org/sssom/license/unspecified,,,,,,,,,,,
#  skos: http://www.w3.org/2004/02/skos/core#,,,,,,,,,,,
#  semapv: https://w3id.org/semapv,,,,,,,,,,,
#  BIOPORTAL_ICD10CM: https://data.bioontology.org/ontologies/ICD10CM/submissions/22/download?apikey=8b5b7825-538d-40e0-9e9e-5ab9274a9aeb,,,,,,,,,,,
subject_label,predicate_id,object_id,object_label,confidence,mapping_justification,comment,mapping_date,author_id,subject_source_version,object_source_version,
ICD10CM:I70.228,"
Athscl native arteries of extrm w rest pain, oth extremity",skos:exactMatch,SNOMED:315558,Atherosclerosis of arteries of the extremities,1,semapv:LexicalMatching,omop vocabulary concept relationship,6-Oct-2022,orcid:0000-0002-0795-1293,BIOPORTAL_ICD10CM:8b5b7825-538d-40e0-9e9e-5ab9274a9aeb,v5.0 09-SEP-22
ICD10CM:I70.228,"
Athscl native arteries of extrm w rest pain, oth extremity",skos:exactMatch,OMOP:315558,Atherosclerosis of arteries of the extremities,1,semapv:LexicalMatching,omop vocabulary concept relationship,6-Oct-2022,orcid:0000-0002-0795-1293,BIOPORTAL_ICD10CM:8b5b7825-538d-40e0-9e9e-5ab9274a9aeb,v5.0 09-SEP-22
ICD10CM:I70.228,"
Athscl native arteries of extrm w rest pain, oth extremity",skos:narrower,SNOMED:442287,Rest pain,0,semapv:LexicalMatching,omop vocabulary concept relationship,6-Oct-2022,orcid:0000-0002-0795-1293,BIOPORTAL_ICD10CM:8b5b7825-538d-40e0-9e9e-5ab9274a9aeb,v5.0 09-SEP-22
ICD10CM:I70.228,"
Athscl native arteries of extrm w rest pain, oth extremity",skos:narrower,OMOP:442287,Rest pain,1,semapv:LexicalMatching,omop vocabulary concept relationship,6-Oct-2022,orcid:0000-0002-0795-1293,BIOPORTAL_ICD10CM:8b5b7825-538d-40e0-9e9e-5ab9274a9aeb,v5.0 09-SEP-22
ICD10CM:I70.228,"
Athscl native arteries of extrm w rest pain, oth extremity",skos:narrower,SNOMED:138525,Pain in limb,0,semapv:LexicalMatching,omop vocabulary concept relationship,6-Oct-2022,orcid:0000-0002-0795-1293,BIOPORTAL_ICD10CM:8b5b7825-538d-40e0-9e9e-5ab9274a9aeb,v5.0 09-SEP-22
ICD10CM:I70.228,"
Athscl native arteries of extrm w rest pain, oth extremity",skos:narrower,OMOP:138525,Pain in limb,1,semapv:LexicalMatching,omop vocabulary concept relationship,6-Oct-2022,orcid:0000-0002-0795-1293,BIOPORTAL_ICD10CM:8b5b7825-538d-40e0-9e9e-5ab9274a9aeb,v5.0 09-SEP-22
ICD10CM:I70.433,Atherosclerosis of autologous vein bypass graft(s) of the right leg with ulceration of ankle,skos:narrower,SNOMED:4171556,Ankle ulcer,0,semapv:LexicalMatching,omop vocabulary concept relationship,6-Oct-2022,orcid:0000-0002-0795-1293,BIOPORTAL_ICD10CM:8b5b7825-538d-40e0-9e9e-5ab9274a9aeb,v5.0 09-SEP-22
ICD10CM:I70.433,Atherosclerosis of autologous vein bypass graft(s) of the right leg with ulceration of ankle,skos:narrower,OMOP:4171556,Ankle ulcer,0,semapv:LexicalMatching,omop vocabulary concept relationship,6-Oct-2022,orcid:0000-0002-0795-1293,BIOPORTAL_ICD10CM:8b5b7825-538d-40e0-9e9e-5ab9274a9aeb,v5.0 09-SEP-22
ICD10CM:I70.433,Atherosclerosis of autologous vein bypass graft(s) of the right leg with ulceration of ankle,skos:exactMatch,SNOMED:40484541,Atherosclerosis of autologous vein bypass graft of limb,1,semapv:LexicalMatching,omop vocabulary concept relationship,6-Oct-2022,orcid:0000-0002-0795-1293,BIOPORTAL_ICD10CM:8b5b7825-538d-40e0-9e9e-5ab9274a9aeb,v5.0 09-SEP-22
ICD10CM:I70.433,Atherosclerosis of autologous vein bypass graft(s) of the right leg with ulceration of ankle,skos:exactMatch,OMOP:40484541,Atherosclerosis of autologous vein bypass graft of limb,1,semapv:LexicalMatching,omop vocabulary concept relationship,6-Oct-2022,orcid:0000-0002-0795-1293,BIOPORTAL_ICD10CM:8b5b7825-538d-40e0-9e9e-5ab9274a9aeb,v5.0 09-SEP-22
ICD10CM:O09.823,"Supervision of pregnancy with history of in utero procedure during previous pregnancy, third trimester",skos:exactMatch,SNOMED:45765728,Supervision of high risk pregnancy,1,semapv:LexicalMatching,omop vocabulary concept relationship,6-Oct-2022,orcid:0000-0002-0795-1293,BIOPORTAL_ICD10CM:8b5b7825-538d-40e0-9e9e-5ab9274a9aeb,v5.0 09-SEP-22
