concept_set_id,concept_set_name,project_id,assigned_informatician,assigned_sme,status,stage,intention,n3c_reviewer,alias,archived,created_by,created_at
[VSAC Bulk-Import test] Cirrhosis or other liver disease (SNOMEDCT;ICD9CM;ICD10CM),[VSAC Bulk-Import test] Cirrhosis or other liver disease (SNOMEDCT;ICD9CM;ICD10CM),,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,Clinical Focus: This set of values contains codes that identify patients with a diagnosis of cirrhosis or other liver disease.; Data Element Scope: This value set is developed for the diagnosis QDM datatype. It can potentially be used for other datatypes as well.; Inclusion Criteria: Include all diagnosis codes associated with cirrhosis or other liver disease.,,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-02-15T19:48:07.057Z
[VSAC Bulk-Import test] Active Bleeding (SNOMEDCT;ICD10CM),[VSAC Bulk-Import test] Active Bleeding (SNOMEDCT;ICD10CM),,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,Clinical Focus: This value set contains concepts that represent post operative hemorrhaging.; Data Element Scope: This value set may use Quality Data Model (QDM) category related to the finding category or diagnosis code. The intent of this data element is to identify patients with post operative hemorrhaging.; Inclusion Criteria: Includes only relevant concepts associated with post operative hemorrhaging.,,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-02-15T19:48:07.057Z
[VSAC Bulk-Import test] Blood Transfusion (SNOMEDCT;ICD10PCS),[VSAC Bulk-Import test] Blood Transfusion (SNOMEDCT;ICD10PCS),,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,Clinical Focus: The purpose of this value set is to group procedures of blood transfusions.; Data Element Scope: This value set may use a model element related to procedure.; Inclusion Criteria: Includes concepts that represent procedures of a blood transfusion.,,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-02-15T19:48:07.057Z
[VSAC Bulk-Import test] Gestational Diabetes (ICD10CM),[VSAC Bulk-Import test] Gestational Diabetes (ICD10CM),,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,Clinical Focus: The purpose of this value set is to group diagnoses of gestational diabetes.; Data Element Scope: This value set may use a model element related to diagnosis.; Inclusion Criteria: Includes concepts that identify a diagnosis of gestational diabetes.,,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-02-15T19:48:07.057Z
[VSAC Bulk-Import test] Bleeding Disorder (ICD10CM),[VSAC Bulk-Import test] Bleeding Disorder (ICD10CM),,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,Clinical Focus: The purpose of this value set is to group diagnoses of a bleeding disorders.; Data Element Scope: This value set may use a model element related to diagnosis.; Inclusion Criteria: Includes concepts that identify a diagnosis of a bleeding disorder.,,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-02-15T19:48:07.057Z
[VSAC Bulk-Import test] Bariatric Surgery (ICD10CM),[VSAC Bulk-Import test] Bariatric Surgery (ICD10CM),,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,Clinical Focus: The purpose of this value set is to group diagnoses of bariatric surgery.; Data Element Scope: This value set may use a model element related to diagnosis.; Inclusion Criteria: Includes concepts that identify a diagnosis of a bariatric surgery.,,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-02-15T19:48:07.057Z
[VSAC Bulk-Import test] Anemia (ICD10CM),[VSAC Bulk-Import test] Anemia (ICD10CM),,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,Clinical Focus: The purpose of this value set is to group diagnoses of anemia.; Data Element Scope: This value set may use a model element related to diagnosis.; Inclusion Criteria: Includes concepts that identify a diagnosis of an anemia.,,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-02-15T19:48:07.057Z
[VSAC Bulk-Import test] Gastrointestinal Disease (ICD10CM),[VSAC Bulk-Import test] Gastrointestinal Disease (ICD10CM),,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,Clinical Focus: The purpose of this value set is to group diagnoses of gastrointestinal diseases.; Data Element Scope: This value set may use a model element related to diagnosis.; Inclusion Criteria: Includes concepts that identify a diagnosis of a gastrointestinal disease.,,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-02-15T19:48:07.058Z
[VSAC Bulk-Import test] Long Term Anticoagulant Use (ICD10CM),[VSAC Bulk-Import test] Long Term Anticoagulant Use (ICD10CM),,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,Clinical Focus: The purpose of this value set is to group diagnoses for long term use of anticoagulants.; Data Element Scope: This value set may use a model element related to diagnosis.; Inclusion Criteria: Includes concepts that identify a diagnosis for current long term use of anticoagulants.,,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-02-15T19:48:07.058Z
[VSAC Bulk-Import test] Antithrombotic Therapy_Antiplatelet (RXNORM),[VSAC Bulk-Import test] Antithrombotic Therapy_Antiplatelet (RXNORM),,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,"Clinical Focus: The purpose of this value set is to represent concepts of medications that are antiplatelet medications used to reduce stroke mortality and morbidity.; Data Element Scope: This value set may use a model element related to Medication.; Inclusion Criteria: Includes concepts that represent a medication that is an antithrombotic medication, including oral, rectal, and injectable dose forms.",,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-02-15T19:48:07.058Z
[VSAC Bulk-Import test] Antithrombotic Therapy (RXNORM),[VSAC Bulk-Import test] Antithrombotic Therapy (RXNORM),,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,"Clinical Focus: The purpose of this value set is to represent concepts of medications that are anticoagulant and antiplatelet medications used to reduce stroke mortality and morbidity.; Data Element Scope: This value set may use a model element related to Medication.; Inclusion Criteria: Includes concepts that represent a medication that is an antithrombotic medication, including oral, rectal, and injectable dose forms.",,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-02-15T19:48:07.058Z
[VSAC Bulk-Import test] Anticoagulant Therapy (RXNORM),[VSAC Bulk-Import test] Anticoagulant Therapy (RXNORM),,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,Clinical Focus: The purpose of this value set is to represent concepts for medications prescribed at hospital discharge for anticoagulant therapy for patients following acute ischemic stroke.; Data Element Scope: This value set may use a model element related to Medication.; Inclusion Criteria: Includes concepts that represent a medication for oral and injectable drug forms of anticoagulants.,,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-02-15T19:48:07.058Z
[VSAC Bulk-Import test] Antithrombotic Therapy_Anticoagulant (RXNORM),[VSAC Bulk-Import test] Antithrombotic Therapy_Anticoagulant (RXNORM),,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,"Clinical Focus: The purpose of this value set is to represent concepts of medications that are anticoagulant medications used to reduce stroke mortality and morbidity.; Data Element Scope: This value set may use a model element related to Medication.; Inclusion Criteria: Includes concepts that represent a medication that is an antithrombotic medication, including oral, rectal, and injectable dose forms.",,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-02-15T19:48:07.058Z
[VSAC Bulk-Import test] Atrial Fibrillation/Flutter (SNOMEDCT;ICD9CM;ICD10CM),[VSAC Bulk-Import test] Atrial Fibrillation/Flutter (SNOMEDCT;ICD9CM;ICD10CM),,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,Clinical Focus: The purpose of this value set is to represent concepts of diagnoses to identify patients with a history of atrial fibrillation/flutter or a current finding of atrial fibrillation/flutter.; Data Element Scope: This value set may use a model element related to Diagnosis.; Inclusion Criteria: Includes concepts that identify a diagnosis of a history of atrial fibrillation/flutter or a current finding of atrial fibrillation/flutter.,,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-02-15T19:48:07.058Z
[VSAC Bulk-Import test] Hemorrhagic Stroke (SNOMEDCT;ICD10CM),[VSAC Bulk-Import test] Hemorrhagic Stroke (SNOMEDCT;ICD10CM),,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,Clinical Focus: The purpose of this value set is to identify concepts for diagnoses of hemorrhagic stroke.; Data Element Scope: This value set may use a model element related to Diagnosis.; Inclusion Criteria: Includes concepts that represent a diagnosis of hemorrhagic stroke.,,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-02-15T19:48:07.058Z
[VSAC Bulk-Import test] General Surgery (ICD10PCS;SNOMEDCT),[VSAC Bulk-Import test] General Surgery (ICD10PCS;SNOMEDCT),,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,"Clinical Focus: The purpose of this value set is to represent concepts of procedures for thoracic and abdominal general surgery procedures, except for cardiac procedures.; Data Element Scope: This value set may use a model element related to Procedure.; Inclusion Criteria: Includes concepts that represent a procedure for thoracic and abdominal general surgery, except for cardiac procedures.",,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-02-15T19:48:07.061Z
[VSAC Bulk-Import test] Hip Fracture Surgery (ICD10PCS;SNOMEDCT),[VSAC Bulk-Import test] Hip Fracture Surgery (ICD10PCS;SNOMEDCT),,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,Clinical Focus: The purpose of this value set is to represent concepts for procedures of hip fracture surgery.; Data Element Scope: This value set may use a model element related to Procedure.; Inclusion Criteria: Includes concepts that represent a procedure for hip fracture surgery.,,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-02-15T19:48:07.061Z
[VSAC Bulk-Import test] Hip Replacement Surgery (ICD10PCS;SNOMEDCT),[VSAC Bulk-Import test] Hip Replacement Surgery (ICD10PCS;SNOMEDCT),,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,Clinical Focus: The purpose of this value set is to represent concepts of procedures for total hip replacement procedures.; Data Element Scope: This value set may use a model element related to Procedure.; Inclusion Criteria: Includes concepts that represent a procedure for a total hip replacement.,,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-02-15T19:48:07.061Z
[VSAC Bulk-Import test] Intracranial Neurosurgery (ICD10PCS;SNOMEDCT),[VSAC Bulk-Import test] Intracranial Neurosurgery (ICD10PCS;SNOMEDCT),,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,Clinical Focus: The purpose of this value set is to represent concepts for procedures of intracranial neurosurgery.; Data Element Scope: This value set may use a model element related to Procedure.; Inclusion Criteria: Includes concepts that represent a procedure for intracranial neurosurgery.,,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-02-15T19:48:07.062Z
[VSAC Bulk-Import test] Knee Replacement Surgery (ICD10PCS;SNOMEDCT),[VSAC Bulk-Import test] Knee Replacement Surgery (ICD10PCS;SNOMEDCT),,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,Clinical Focus: The purpose of this value set is to represent concepts for the procedure of a total knee replacement.; Data Element Scope: This value set may use a model element related to Procedure.; Inclusion Criteria: Includes concepts that represent a procedure for total knee replacement.,,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-02-15T19:48:07.062Z
[VSAC Bulk-Import test] Acute Renal Failure (SNOMEDCT),[VSAC Bulk-Import test] Acute Renal Failure (SNOMEDCT),,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,Clinical Focus: The purpose of this value set is to identify diagnoses of acute renal failure.; Data Element Scope: This value set may use a model element related to diagnosis.; Inclusion Criteria: Includes concepts that identify a diagnosis of an acute renal failure.,,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-02-15T19:48:07.062Z
[VSAC Bulk-Import test] Acute Renal Failure (ICD10CM),[VSAC Bulk-Import test] Acute Renal Failure (ICD10CM),,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,Clinical Focus: The purpose of this value set is to identify diagnoses of acute renal failure.; Data Element Scope: This value set may use a model element related to diagnosis.; Inclusion Criteria: Includes concepts that identify a diagnosis of an acute renal failure.,,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-02-15T19:48:07.062Z
[VSAC Bulk-Import test] Disseminated Intravascular Coagulation (ICD10CM),[VSAC Bulk-Import test] Disseminated Intravascular Coagulation (ICD10CM),,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,Clinical Focus: The purpose of this value set is to identify diagnoses of disseminated intravascular coagulation (DIC).; Data Element Scope: This value set may use a model element related to diagnosis.; Inclusion Criteria: Includes concepts that identify a diagnosis of disseminated intravascular coagulation (DIC).,,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-02-15T19:48:07.062Z
[VSAC Bulk-Import test] Disseminated Intravascular Coagulation (SNOMEDCT),[VSAC Bulk-Import test] Disseminated Intravascular Coagulation (SNOMEDCT),,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,Clinical Focus: The purpose of this value set is to identify diagnoses of disseminated intravascular coagulation (DIC).; Data Element Scope: This value set may use a model element related to diagnosis.; Inclusion Criteria: Includes concepts that identify a diagnosis of disseminated intravascular coagulation (DIC).,,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-02-15T19:48:07.062Z
[VSAC Bulk-Import test] Acute Respiratory Distress Syndrome (ICD10CM),[VSAC Bulk-Import test] Acute Respiratory Distress Syndrome (ICD10CM),,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,Clinical Focus: The purpose of this value set is to identify diagnoses of acute respiratory distress syndrome.; Data Element Scope: This value set may use a model element related to diagnosis.; Inclusion Criteria: Includes concepts that identify a diagnosis of an acute respiratory distress syndrome.,,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-02-15T19:48:07.062Z
[VSAC Bulk-Import test] Acute Respiratory Distress Syndrome (SNOMEDCT),[VSAC Bulk-Import test] Acute Respiratory Distress Syndrome (SNOMEDCT),,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,Clinical Focus: The purpose of this value set is to identify diagnoses of acute respiratory distress syndrome.; Data Element Scope: This value set may use a model element related to diagnosis.; Inclusion Criteria: Includes concepts that identify a diagnosis of an acute respiratory distress syndrome.,,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-02-15T19:48:07.062Z
[VSAC Bulk-Import test] Acute Heart Failure (ICD10CM),[VSAC Bulk-Import test] Acute Heart Failure (ICD10CM),,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,Clinical Focus: The purpose of this value set is to identify diagnoses of acute heart failure.; Data Element Scope: This value set may use a model element related to diagnosis.; Inclusion Criteria: Includes concepts that identify a diagnosis of acute heart failure.,,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-02-15T19:48:07.062Z
[VSAC Bulk-Import test] Acute Heart Failure (SNOMEDCT),[VSAC Bulk-Import test] Acute Heart Failure (SNOMEDCT),,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,Clinical Focus: The purpose of this value set is to identify diagnoses of acute heart failure.; Data Element Scope: This value set may use a model element related to diagnosis.; Inclusion Criteria: Includes concepts that identify a diagnosis of an acute heart failure.,,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-02-15T19:48:07.062Z
