concept_set_id,concept_set_name,project_id,assigned_informatician,assigned_sme,status,stage,intention,n3c_reviewer,alias,archived,created_by,created_at
[HCUP] RSP016 Other specified and unspecified lower respiratory disease,[HCUP] RSP016 Other specified and unspecified lower respiratory disease,,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,"ICD-10-CM Body System (largely aligned with ICD-10-CM chapters) diseases of the respiratory system. RSP contains 17 categories that include diseases of the respiratory system such a as influenza, asthma, acute bronchitis, and pneumothorax.",,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-02-28T21:18:46.910Z
[HCUP] GEN001 Nephritis; nephrosis; renal sclerosis,[HCUP] GEN001 Nephritis; nephrosis; renal sclerosis,,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,"ICD-10-CM Body System (largely aligned with ICD-10-CM chapters) diseases of the genitourinary system. GEN contains 26 categories that include diseases of the genitourinary system such as chronic kidney disease, urinary tract infections, and acute and unspecified renal failure.",,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-02-28T21:18:46.910Z
[HCUP] RSP016 Other specified and unspecified lower respiratory disease,[HCUP] RSP016 Other specified and unspecified lower respiratory disease,,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,"ICD-10-CM Body System (largely aligned with ICD-10-CM chapters) diseases of the respiratory system. RSP contains 17 categories that include diseases of the respiratory system such a as influenza, asthma, acute bronchitis, and pneumothorax.",,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-02-28T21:18:46.910Z
[HCUP] RSP016 Other specified and unspecified lower respiratory disease,[HCUP] RSP016 Other specified and unspecified lower respiratory disease,,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,"ICD-10-CM Body System (largely aligned with ICD-10-CM chapters) diseases of the respiratory system. RSP contains 17 categories that include diseases of the respiratory system such a as influenza, asthma, acute bronchitis, and pneumothorax.",,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-02-28T21:18:46.910Z
[HCUP] RSP016 Other specified and unspecified lower respiratory disease,[HCUP] RSP016 Other specified and unspecified lower respiratory disease,,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,"ICD-10-CM Body System (largely aligned with ICD-10-CM chapters) diseases of the respiratory system. RSP contains 17 categories that include diseases of the respiratory system such a as influenza, asthma, acute bronchitis, and pneumothorax.",,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-02-28T21:18:46.910Z
[HCUP] RSP016 Other specified and unspecified lower respiratory disease,[HCUP] RSP016 Other specified and unspecified lower respiratory disease,,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,"ICD-10-CM Body System (largely aligned with ICD-10-CM chapters) diseases of the respiratory system. RSP contains 17 categories that include diseases of the respiratory system such a as influenza, asthma, acute bronchitis, and pneumothorax.",,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-02-28T21:18:46.910Z
[HCUP] RSP016 Other specified and unspecified lower respiratory disease,[HCUP] RSP016 Other specified and unspecified lower respiratory disease,,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,"ICD-10-CM Body System (largely aligned with ICD-10-CM chapters) diseases of the respiratory system. RSP contains 17 categories that include diseases of the respiratory system such a as influenza, asthma, acute bronchitis, and pneumothorax.",,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-02-28T21:18:46.910Z
[HCUP] RSP016 Other specified and unspecified lower respiratory disease,[HCUP] RSP016 Other specified and unspecified lower respiratory disease,,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,"ICD-10-CM Body System (largely aligned with ICD-10-CM chapters) diseases of the respiratory system. RSP contains 17 categories that include diseases of the respiratory system such a as influenza, asthma, acute bronchitis, and pneumothorax.",,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-02-28T21:18:46.911Z
[HCUP] RSP016 Other specified and unspecified lower respiratory disease,[HCUP] RSP016 Other specified and unspecified lower respiratory disease,,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,"ICD-10-CM Body System (largely aligned with ICD-10-CM chapters) diseases of the respiratory system. RSP contains 17 categories that include diseases of the respiratory system such a as influenza, asthma, acute bronchitis, and pneumothorax.",,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-02-28T21:18:46.911Z
[HCUP] RSP016 Other specified and unspecified lower respiratory disease,[HCUP] RSP016 Other specified and unspecified lower respiratory disease,,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,"ICD-10-CM Body System (largely aligned with ICD-10-CM chapters) diseases of the respiratory system. RSP contains 17 categories that include diseases of the respiratory system such a as influenza, asthma, acute bronchitis, and pneumothorax.",,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-02-28T21:18:46.911Z
[HCUP] RSP016 Other specified and unspecified lower respiratory disease,[HCUP] RSP016 Other specified and unspecified lower respiratory disease,,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,"ICD-10-CM Body System (largely aligned with ICD-10-CM chapters) diseases of the respiratory system. RSP contains 17 categories that include diseases of the respiratory system such a as influenza, asthma, acute bronchitis, and pneumothorax.",,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-02-28T21:18:46.911Z
[HCUP] GEN001 Nephritis; nephrosis; renal sclerosis,[HCUP] GEN001 Nephritis; nephrosis; renal sclerosis,,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,"ICD-10-CM Body System (largely aligned with ICD-10-CM chapters) diseases of the genitourinary system. GEN contains 26 categories that include diseases of the genitourinary system such as chronic kidney disease, urinary tract infections, and acute and unspecified renal failure.",,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-02-28T21:18:46.911Z
[HCUP] DIG019 Other specified and unspecified liver disease,[HCUP] DIG019 Other specified and unspecified liver disease,,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,"ICD-10-CM Body System (largely aligned with ICD-10-CM chapters) diseases of the digestive system. DIG contains 25 categories that include diseases of the digestive system such as appendicitis and other appendiceal conditions, hepatic failure, diverticulosis and diverticulitis, and intestinal infection.",,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-02-28T21:18:46.911Z
